Year Election,City Code,City,Num Votes,Position
2016,2700201,Anadia,4786,left
2016,2700300,Arapiraca,40389,centre
2016,2700409,Atalaia,11999,right
2016,2700508,Barra de Santo Antônio,5652,centre
2016,2700607,Barra de São Miguel,2774,right
2016,2700706,Batalha,5539,centre
2016,2700904,Belo Monte,2393,centre-right
2016,2700805,Belém,2222,centre
2016,2701001,Boca da Mata,8034,centre
2016,2701100,Branquinha,3316,centre
2016,2701209,Cacimbinhas,4824,centre
2016,2701308,Cajueiro,5745,centre
2016,2701357,Campestre,2187,centre
2016,2701407,Campo Alegre,14581,right
2016,2701506,Campo Grande,3433,centre-right
2016,2701605,Canapi,5969,right
2016,2701704,Capela,5383,centre
2016,2701803,Carneiros,3605,centre
2016,2701902,Chã Preta,2507,left
2016,2702009,Coité do Nóia,3343,centre
2016,2702108,Colônia Leopoldina,6363,centre
2016,2702207,Coqueiro Seco,1880,centre
2016,2702306,Coruripe,19710,centre
2016,2702355,Craíbas,5774,centre
2016,2702405,Delmiro Gouveia,14722,centre
2016,2702504,Dois Riachos,3637,centre-right
2016,2702553,Estrela de Alagoas,4777,right
2016,2702603,Feira Grande,7096,centre
2016,2702702,Feliz Deserto,1625,centre
2016,2702801,Flexeiras,3776,right
2016,2702900,Girau do Ponciano,13279,right
2016,2703007,Ibateguara,4907,centre
2016,2703106,Igaci,7734,centre
2016,2703205,Igreja Nova,4641,centre
2016,2703304,Inhapi,4519,left
2016,2703403,Jacaré dos Homens,2043,centre
2016,2703502,Jacuípe,2042,left
2016,2703601,Japaratinga,1860,centre
2016,2703700,Jaramataia,1960,left
2016,2703759,Jequiá da Praia,3429,centre-right
2016,2703809,Joaquim Gomes,4543,left
2016,2703908,Jundiá,1694,centre
2016,2704005,Junqueiro,6964,centre
2016,2704104,Lagoa da Canoa,5794,right
2016,2704203,Limoeiro de Anadia,8024,right
2016,2704302,Maceió,439111,centre
2016,2704401,Major Isidoro,6544,centre
2016,2704906,Mar Vermelho,1406,centre
2016,2704500,Maragogi,8776,right
2016,2704609,Maravilha,3265,centre
2016,2704708,Marechal Deodoro,13536,centre
2016,2704807,Maribondo,3472,centre-right
2016,2705002,Mata Grande,6935,right
2016,2705101,Matriz de Camaragibe,7463,centre
2016,2705200,Messias,5511,centre
2016,2705309,Minador do Negrão,1831,centre
2016,2705408,Monteirópolis,3305,right
2016,2705507,Murici,8493,centre
2016,2705606,Novo Lino,3987,centre
2016,2705705,Olho d'Água das Flores,5680,right
2016,2705804,Olho d'Água do Casado,3120,left
2016,2705903,Olho d'Água Grande,1881,centre
2016,2706000,Olivença,3511,centre
2016,2706109,Ouro Branco,3797,centre
2016,2706208,Palestina,1869,centre
2016,2706307,Palmeira dos Índios,23786,left
2016,2706422,Pariconha,3596,right
2016,2706448,Paripueira,5526,centre
2016,2706505,Passo de Camaragibe,4602,centre
2016,2706604,Paulo Jacinto,2727,centre
2016,2706703,Penedo,12780,left
2016,2706802,Piaçabuçu,5007,centre-right
2016,2706901,Pilar,8871,centre
2016,2707008,Pindoba,1195,left
2016,2707107,Piranhas,6921,right
2016,2707305,Porto Calvo,6456,centre
2016,2707404,Porto de Pedras,3407,centre
2016,2707503,Porto Real do Colégio,5377,centre
2016,2707206,Poço das Trincheiras,3943,centre
2016,2706406,Pão de Açúcar,7901,centre
2016,2707602,Quebrangulo,4452,centre
2016,2707701,Rio Largo,12633,right
2016,2707800,Roteiro,2948,right
2016,2707909,Santa Luzia do Norte,1555,centre-right
2016,2708006,Santana do Ipanema,13501,centre
2016,2708105,Santana do Mundaú,2928,centre
2016,2708907,Satuba,4354,centre
2016,2708956,Senador Rui Palmeira,4010,centre
2016,2708204,São Brás,3249,centre
2016,2708303,São José da Laje,7419,centre
2016,2708402,São José da Tapera,9773,left
2016,2708501,São Luís do Quitunde,6716,centre
2016,2708600,São Miguel dos Campos,14158,right
2016,2708709,São Miguel dos Milagres,2963,centre
2016,2708808,São Sebastião,10687,right
2016,2709004,Tanque d'Arca,1300,centre
2016,2709103,Taquarana,5783,right
2016,2709152,Teotônio Vilela,12827,centre
2016,2709202,Traipu,6572,centre
2016,2709301,União dos Palmares,17817,centre
2016,2709400,Viçosa,7594,right
2016,2700102,Água Branca,6151,centre
