Year Election,City Code,City,Num Votes,Position
2016,2900207,Abaré,5482,left
2016,2900108,Abaíra,2701,right
2016,2900306,Acajutiba,4482,centre
2016,2900355,Adustina,4644,right
2016,2900603,Aiquara,1213,right
2016,2900702,Alagoinhas,25684,centre
2016,2900801,Alcobaça,8265,centre
2016,2900900,Almadina,2204,right
2016,2901007,Amargosa,10500,left
2016,2901106,Amélia Rodrigues,5305,centre-right
2016,2901155,América Dourada,5140,centre
2016,2901205,Anagé,5677,left
2016,2901304,Andaraí,4059,centre
2016,2901353,Andorinha,4683,right
2016,2901403,Angical,3844,right
2016,2901502,Anguera,4528,left
2016,2901601,Antas,5165,right
2016,2901700,Antônio Cardoso,5583,left
2016,2901809,Antônio Gonçalves,3584,centre
2016,2901908,Aporá,5303,right
2016,2901957,Apuarema,2375,right
2016,2902005,Aracatu,5295,centre
2016,2902104,Araci,14143,left
2016,2902203,Aramari,3810,right
2016,2902252,Arataca,2403,right
2016,2902302,Aratuípe,3636,centre
2016,2902054,Araças,3384,left
2016,2902401,Aurelino Leal,5004,right
2016,2902500,Baianópolis,5651,centre
2016,2902609,Baixa Grande,6106,centre
2016,2902658,Banzaê,4111,left
2016,2902708,Barra,13948,centre
2016,2902807,Barra da Estiva,9018,right
2016,2902906,Barra do Choça,10313,right
2016,2903003,Barra do Mendes,5946,right
2016,2903102,Barra do Rocha,1753,centre
2016,2903201,Barreiras,36186,right
2016,2903235,Barro Alto,4409,centre
2016,2903300,Barro Preto,2490,centre
2016,2903276,Barrocas,5769,centre
2016,2903409,Belmonte,4896,right
2016,2903508,Belo Campo,5897,centre
2016,2903607,Biritinga,5784,left
2016,2903706,Boa Nova,4640,right
2016,2903805,Boa Vista do Tupim,6138,centre
2016,2903904,Bom Jesus da Lapa,24589,centre
2016,2903953,Bom Jesus da Serra,3575,centre
2016,2904001,Boninal,3336,right
2016,2904050,Bonito,4876,centre
2016,2904100,Boquira,7573,right
2016,2904209,Botuporã,4015,right
2016,2904407,Brejolândia,3595,right
2016,2904308,Brejões,3823,centre-left
2016,2904506,Brotas de Macaúbas,3820,left
