Year Election,City Code,City,Num Votes,Position
2016,2300101,Abaiara,2889,left
2016,2300150,Acarape,5511,centre
2016,2300200,Acaraú,17727,left
2016,2300309,Acopiara,15715,centre
2016,2300408,Aiuaba,4888,centre
2016,2300507,Alcântaras,4334,left
2016,2300606,Altaneira,2545,left
2016,2300705,Alto Santo,5010,left
2016,2300754,Amontada,15001,left
2016,2300804,Antonina do Norte,3225,centre
2016,2300903,Apuiarés,5363,centre
2016,2301000,Aquiraz,26348,centre
2016,2301109,Aracati,17766,right
2016,2301208,Aracoiaba,8238,centre
2016,2301257,Ararendá,4091,left
2016,2301307,Araripe,7671,right
2016,2301406,Aratuba,5583,right
2016,2301505,Arneiroz,3060,centre
2016,2301604,Assaré,8830,centre
2016,2301703,Aurora,8015,centre
2016,2301802,Baixio,2490,left
2016,2301851,Banabuiú,6537,left
2016,2301901,Barbalha,16570,centre
2016,2301950,Barreira,7858,left
2016,2302008,Barro,6065,right
2016,2302057,Barroquinha,5425,right
2016,2302107,Baturité,10257,left
2016,2302206,Beberibe,18362,centre
2016,2302305,Bela Cruz,8805,right
2016,2302404,Boa Viagem,19397,right
2016,2302503,Brejo Santo,19886,left
2016,2302602,Camocim,18411,left
2016,2302701,Campos Sales,11051,left
2016,2302800,Canindé,17575,centre
2016,2302909,Capistrano,7038,centre
2016,2303006,Caridade,6869,left
2016,2303204,Caririaçu,9556,left
2016,2303105,Cariré,9042,left
2016,2303303,Cariús,5811,centre
2016,2303402,Carnaubal,5077,centre
2016,2303501,Cascavel,20144,left
2016,2303600,Catarina,4395,centre
2016,2303659,Catunda,3612,left
2016,2303709,Caucaia,154072,right
2016,2303808,Cedro,8640,left
2016,2303907,Chaval,5998,left
2016,2303956,Chorozinho,7988,centre
2016,2303931,Choró,5238,far-right
2016,2304004,Coreaú,8279,centre
2016,2304103,Crateús,21064,centre
2016,2304202,Crato,37740,right
2016,2304236,Croatá,5058,left
2016,2304251,Cruz,8777,centre
2016,2304269,Deputado Irapuan Pinheiro,4035,centre
2016,2304277,Ererê,2276,right
2016,2304285,Eusébio,25861,far-right
2016,2304301,Farias Brito,7639,far-left
2016,2304350,Forquilha,8144,left
2016,2304400,Fortaleza,1203820,left
2016,2304459,Fortim,7318,centre
2016,2304509,Frecheirinha,4929,right
2016,2304608,General Sampaio,3813,left
2016,2304707,Granja,20972,right
2016,2304806,Granjeiro,2358,centre
2016,2304657,Graça,4626,far-left
2016,2304905,Groaíras,3925,far-left
2016,2304954,Guaiúba,8725,right
2016,2305001,Guaraciaba do Norte,15870,centre
2016,2305100,Guaramiranga,2264,left
2016,2305209,Hidrolândia,7001,left
2016,2305233,Horizonte,29902,centre
2016,2305266,Ibaretama,6066,centre
2016,2305308,Ibiapina,7964,right
2016,2305332,Ibicuitinga,5428,left
2016,2305357,Icapuí,7263,centre
2016,2305407,Icó,20398,right
2016,2305506,Iguatu,31557,left
2016,2305605,Independência,8004,right
2016,2305654,Ipaporanga,4306,left
2016,2305704,Ipaumirim,4109,centre
2016,2305803,Ipu,12785,far-left
2016,2305902,Ipueiras,10815,left
2016,2306009,Iracema,5526,left
2016,2306108,Irauçuba,7731,centre
2016,2306256,Itaitinga,8585,centre
2016,2306207,Itaiçaba,3090,centre
2016,2306306,Itapajé,11730,right
2016,2306405,Itapipoca,33158,centre
2016,2306504,Itapiúna,6240,centre
2016,2306553,Itarema,13456,left
2016,2306603,Itatira,7602,left
2016,2306702,Jaguaretama,7660,right
2016,2306801,Jaguaribara,3356,centre
2016,2306900,Jaguaribe,11511,left
2016,2307007,Jaguaruana,11995,centre
2016,2307106,Jardim,10306,far-left
2016,2307205,Jati,3971,centre
2016,2307254,Jijoca de Jericoacoara,4084,centre
2016,2307304,Juazeiro do Norte,55538,right
2016,2307403,Jucás,8747,left
2016,2307502,Lavras da Mangabeira,9938,centre
2016,2307601,Limoeiro do Norte,24938,centre
2016,2307635,Madalena,7640,centre
2016,2307650,Maracanaú,81315,right
2016,2307700,Maranguape,33634,centre-right
2016,2307809,Marco,10750,centre
2016,2307908,Martinópole,4525,centre
2016,2308005,Massapê,12596,centre
2016,2308104,Mauriti,15589,left
2016,2308203,Meruoca,4047,right
2016,2308302,Milagres,9312,left
2016,2308351,Milhã,4922,centre
2016,2308377,Miraíma,5598,right
2016,2308401,Missão Velha,11691,centre
2016,2308500,Mombaça,13304,centre
2016,2308609,Monsenhor Tabosa,6279,left
2016,2308708,Morada Nova,24888,left
2016,2308807,Moraújo,3349,left
2016,2308906,Morrinhos,7726,centre
2016,2309003,Mucambo,5558,far-left
2016,2309102,Mulungu,3706,left
2016,2309201,Nova Olinda,5881,centre
2016,2309300,Nova Russas,7182,left
2016,2309409,Novo Oriente,8531,far-left
2016,2309458,Ocara,10231,right
2016,2309508,Orós,8055,centre
2016,2309607,Pacajus,16733,right
2016,2309706,Pacatuba,11999,centre
2016,2309805,Pacoti,4664,centre
2016,2309904,Pacujá,2583,left
2016,2310001,Palhano,4461,left
2016,2310100,Palmácia,4874,centre
2016,2310209,Paracuru,9778,centre
2016,2310258,Paraipaba,10568,centre
2016,2310308,Parambu,12345,centre
2016,2310407,Paramoti,3809,left
2016,2310506,Pedra Branca,16796,centre-right
2016,2310605,Penaforte,3512,left
2016,2310704,Pentecoste,15873,left
2016,2310803,Pereiro,6699,left
2016,2310852,Pindoretama,8068,left
2016,2310902,Piquet Carneiro,5745,left
2016,2310951,Pires Ferreira,3640,left
2016,2311009,Poranga,3780,left
2016,2311108,Porteiras,6981,right
2016,2311207,Potengi,3369,left
2016,2311231,Potiretama,2665,centre
2016,2311264,Quiterianópolis,6749,centre
2016,2311306,Quixadá,25469,left
2016,2311355,Quixelô,5618,left
2016,2311405,Quixeramobim,24026,centre
2016,2311504,Quixeré,7392,left
2016,2311603,Redenção,9506,centre-right
2016,2311702,Reriutaba,8660,left
2016,2311801,Russas,20841,centre-right
2016,2311900,Saboeiro,5178,centre
2016,2311959,Salitre,6272,left
2016,2312205,Santa Quitéria,13594,centre
2016,2312007,Santana do Acaraú,10827,centre
2016,2312106,Santana do Cariri,5232,right
2016,2312700,Senador Pompeu,10137,left
2016,2312809,Senador Sá,2710,centre
2016,2312908,Sobral,57908,left
2016,2313005,Solonópole,6178,centre-right
2016,2312304,São Benedito,14225,far-left
2016,2312403,São Gonçalo do Amarante,21065,left
2016,2312502,São João do Jaguaribe,3353,right
2016,2312601,São Luís do Curu,6160,right
2016,2313104,Tabuleiro do Norte,10854,centre
2016,2313203,Tamboril,8249,centre
2016,2313252,Tarrafas,3182,right
2016,2313302,Tauá,16287,right
2016,2313351,Tejuçuoca,6420,centre
2016,2313401,Tianguá,20932,centre
2016,2313500,Trairi,17127,centre
2016,2313559,Tururu,5203,left
2016,2313609,Ubajara,10082,left
2016,2313708,Umari,2525,left
2016,2313757,Umirim,6382,right
2016,2313807,Uruburetama,10558,right
2016,2313906,Uruoca,4872,left
2016,2313955,Varjota,6597,centre
2016,2314102,Viçosa do Ceará,19116,centre
2016,2314003,Várzea Alegre,13520,centre
