Year Election,City Code,City,Num Votes,Position
2016,3200102,Afonso Cláudio,11454,centre
2016,3200201,Alegre,8828,centre
2016,3200300,Alfredo Chaves,5019,left
2016,3200359,Alto Rio Novo,2640,centre
2016,3200409,Anchieta,12395,centre
2016,3200508,Apiacá,2278,right
2016,3200607,Aracruz,29323,centre
2016,3200706,Atilio Vivacqua,5277,left
2016,3200805,Baixo Guandu,9515,far-left
2016,3200904,Barra de São Francisco,15313,left
2016,3201001,Boa Esperança,5164,centre
2016,3201100,Bom Jesus do Norte,2502,centre
2016,3201159,Brejetuba,3233,centre
2016,3201209,Cachoeiro de Itapemirim,59377,left
2016,3201308,Cariacica,154446,right
2016,3201407,Castelo,10564,centre
2016,3201506,Colatina,19689,centre
2016,3201605,Conceição da Barra,7317,centre
2016,3201704,Conceição do Castelo,4887,centre
2016,3201803,Divino de São Lourenço,1723,centre
2016,3201902,Domingos Martins,17212,centre
2016,3202009,Dores do Rio Preto,2407,left
2016,3202108,Ecoporanga,7695,centre
2016,3202207,Fundão,8564,centre
2016,3202256,Governador Lindenberg,4214,centre
2016,3202405,Guarapari,27926,centre
2016,3202306,Guaçuí,9394,left
2016,3202454,Ibatiba,6828,centre
2016,3202504,Ibiraçu,4068,left
2016,3202553,Ibitirama,3219,centre
2016,3202603,Iconha,4591,left
2016,3202652,Irupi,4276,centre
2016,3202702,Itaguaçu,4469,centre
2016,3202801,Itapemirim,15941,centre
2016,3202900,Itarana,4667,centre-right
2016,3203007,Iúna,6969,centre
2016,3203056,Jaguaré,7006,left
2016,3203106,Jerônimo Monteiro,3271,centre
2016,3203130,João Neiva,4634,right
2016,3203163,Laranja da Terra,4056,centre
2016,3203205,Linhares,59147,centre
2016,3203304,Mantenópolis,4740,centre
2016,3203320,Marataízes,7842,centre-right
2016,3203346,Marechal Floriano,5207,right
2016,3203353,Marilândia,4052,centre
2016,3203403,Mimoso do Sul,5995,centre
2016,3203502,Montanha,7167,right
2016,3203601,Mucurici,2208,left
2016,3203700,Muniz Freire,4708,centre
2016,3203809,Muqui,3870,left
2016,3203908,Nova Venécia,18674,left
2016,3204005,Pancas,6064,left
2016,3204054,Pedro Canário,4331,centre
2016,3204104,Pinheiros,7383,centre-right
2016,3204203,Piúma,6388,left
2016,3204252,Ponto Belo,2784,centre
2016,3204302,Presidente Kennedy,5643,centre
2016,3204351,Rio Bananal,6584,left
2016,3204401,Rio Novo do Sul,4838,centre
2016,3204500,Santa Leopoldina,5801,centre-right
2016,3204559,Santa Maria de Jetibá,14944,centre
2016,3204609,Santa Teresa,5212,right
2016,3205002,Serra,214081,centre
2016,3205010,Sooretama,8330,centre
2016,3204658,São Domingos do Norte,3444,left
2016,3204708,São Gabriel da Palha,7971,centre
2016,3204807,São José do Calçado,3584,centre
2016,3204906,São Mateus,30780,centre
2016,3204955,São Roque do Canaã,5214,centre
2016,3205036,Vargem Alta,5887,centre
2016,3205069,Venda Nova do Imigrante,8877,right
2016,3205101,Viana,25197,centre
2016,3205150,Vila Pavão,2565,centre
2016,3205176,Vila Valério,5949,right
2016,3205200,Vila Velha,200169,centre
2016,3205309,Vitória,176773,far-left
2016,3200169,Água Doce do Norte,5071,right
2016,3200136,Águia Branca,3779,centre
