Year Election,City Code,City,Num Votes,Position
2016,5200050,Abadia de Goiás,2367,centre
2016,5200100,Abadiânia,4717,centre
2016,5200134,Acreúna,5753,centre
2016,5200159,Adelândia,1426,right
2016,5200308,Alexânia,5606,far-left
2016,5200506,Aloândia,1046,centre
2016,5200555,Alto Horizonte,2545,centre
2016,5200605,Alto Paraíso de Goiás,2885,right
2016,5200803,Alvorada do Norte,3621,centre
2016,5200829,Amaralina,1363,centre
2016,5200852,Americano do Brasil,2454,right
2016,5200902,Amorinópolis,1637,centre
2016,5201207,Anhanguera,519,centre
2016,5201306,Anicuns,5680,centre
2016,5201108,Anápolis,138463,left
2016,5201405,Aparecida de Goiânia,122122,centre
2016,5201454,Aparecida do Rio Doce,1337,right
2016,5201504,Aporé,1133,centre
2016,5201702,Aragarças,4302,centre
2016,5201801,Aragoiânia,1691,centre
2016,5202155,Araguapaz,2686,centre
2016,5201603,Araçu,2050,centre
2016,5202353,Arenópolis,1453,centre
2016,5202502,Aruanã,3351,centre
2016,5202601,Aurilândia,1627,centre
2016,5202809,Avelinópolis,1736,right
2016,5203104,Baliza,1112,right
2016,5203203,Barro Alto,4610,centre
2016,5203302,Bela Vista de Goiás,6432,right
2016,5203401,Bom Jardim de Goiás,2687,right
2016,5203500,Bom Jesus de Goiás,7896,right
2016,5203559,Bonfinópolis,2609,left
2016,5203575,Bonópolis,1316,centre
2016,5203609,Brazabrantes,1897,centre
2016,5203807,Britânia,2378,right
2016,5203906,Buriti Alegre,4173,centre
2016,5203939,Buriti de Goiás,1555,centre
2016,5203962,Buritinópolis,1920,centre
2016,5204003,Cabeceiras,2428,left
2016,5204102,Cachoeira Alta,3544,centre
2016,5204201,Cachoeira de Goiás,830,centre
2016,5204250,Cachoeira Dourada,4002,centre-right
2016,5204409,Caiapônia,5514,right
2016,5204508,Caldas Novas,21039,right
2016,5204557,Caldazinha,1381,left
2016,5204607,Campestre de Goiás,1257,left
2016,5204656,Campinaçu,1920,right
2016,5204706,Campinorte,2827,centre
2016,5204805,Campo Alegre de Goiás,2414,right
2016,5204854,Campo Limpo de Goiás,2438,right
2016,5204904,Campos Belos,4255,right
2016,5204953,Campos Verdes,1992,centre
2016,5205000,Carmo do Rio Verde,3510,centre
2016,5205059,Castelândia,1927,centre
2016,5205109,Catalão,37561,centre
2016,5205208,Caturaí,2017,left
2016,5205307,Cavalcante,2810,centre
2016,5204300,Caçu,4052,centre
2016,5205406,Ceres,10228,centre
2016,5205455,Cezarina,3615,centre
2016,5205471,Chapadão do Céu,2899,right
2016,5205497,Cidade Ocidental,11641,far-right
2016,5205513,Cocalzinho de Goiás,5458,right
2016,5205521,Colinas do Sul,1674,right
2016,5205901,Corumbaíba,3053,right
2016,5205802,Corumbá de Goiás,3324,centre
2016,5206206,Cristalina,15119,left
2016,5206305,Cristianópolis,1642,left
2016,5206404,Crixás,6167,right
2016,5206503,Cromínia,1705,centre
2016,5206602,Cumari,1528,left
2016,5205703,Córrego do Ouro,1404,right
2016,5206701,Damianópolis,1889,left
2016,5206800,Damolândia,1590,centre
2016,5206909,Davinópolis,1760,right
2016,5207105,Diorama,1132,left
2016,5208301,Divinópolis de Goiás,1908,far-left
2016,5207253,Doverlândia,2126,centre
2016,5207352,Edealina,1824,left
2016,5207402,Edéia,5342,centre
2016,5207501,Estrela do Norte,1236,centre
2016,5207535,Faina,2337,right
2016,5207600,Fazenda Nova,2656,centre
2016,5207808,Firminópolis,2473,right
2016,5207907,Flores de Goiás,2558,right
2016,5208004,Formosa,38915,centre
2016,5208103,Formoso,1870,centre
2016,5208152,Gameleira de Goiás,1585,right
2016,5208509,Goiandira,2043,centre
2016,5208806,Goianira,16421,centre
2016,5208400,Goianápolis,2968,right
2016,5208608,Goianésia,19456,centre
2016,5209101,Goiatuba,7663,right
2016,5208905,Goiás,6374,left
2016,5208707,Goiânia,656392,centre
2016,5209150,Gouvelândia,1882,centre
2016,5209200,Guapó,5547,centre
2016,5209408,Guarani de Goiás,1961,centre
2016,5209291,Guaraíta,1255,right
2016,5209457,Guarinos,1109,centre
2016,5209606,Heitoraí,2198,right
2016,5209804,Hidrolina,2149,centre
2016,5209705,Hidrolândia,8550,right
2016,5209903,Iaciara,4177,right
2016,5209937,Inaciolândia,2027,left
2016,5209952,Indiara,5710,left
2016,5210000,Inhumas,17874,right
2016,5210109,Ipameri,8056,centre
2016,5210158,Ipiranga de Goiás,1532,centre
2016,5210208,Iporá,7832,right
2016,5210307,Israelândia,1537,centre
2016,5210406,Itaberaí,13496,right
2016,5210562,Itaguari,2315,left
2016,5210604,Itaguaru,2600,centre
2016,5210802,Itajá,1641,centre
2016,5210901,Itapaci,5852,centre
2016,5211008,Itapirapuã,3093,right
2016,5211206,Itapuranga,8268,centre
2016,5211305,Itarumã,2441,centre
2016,5211404,Itauçu,3859,centre
2016,5211503,Itumbiara,36143,right
2016,5211602,Ivolândia,1165,far-left
2016,5211701,Jandaia,2197,centre
2016,5211800,Jaraguá,10972,centre
2016,5211909,Jataí,24902,centre
2016,5212006,Jaupaci,1234,centre
2016,5212055,Jesúpolis,1175,centre-right
2016,5212105,Joviânia,2824,centre
2016,5212204,Jussara,6298,centre
2016,5212253,Lagoa Santa,854,centre
2016,5212303,Leopoldo de Bulhões,2740,right
2016,5212501,Luziânia,39660,centre
2016,5212600,Mairipotaba,1397,right
2016,5212709,Mambaí,2574,right
2016,5212808,Mara Rosa,3767,centre
2016,5212907,Marzagão,1048,right
2016,5212956,Matrinchã,1520,right
2016,5213004,Maurilândia,3247,right
2016,5213053,Mimoso de Goiás,714,right
2016,5213087,Minaçu,7921,right
2016,5213103,Mineiros,15621,centre
2016,5213400,Moiporá,1567,left
2016,5213509,Monte Alegre de Goiás,2739,right
2016,5213707,Montes Claros de Goiás,3324,centre
2016,5213756,Montividiu,4034,right
2016,5213772,Montividiu do Norte,2112,right
2016,5213806,Morrinhos,21990,right
2016,5213855,Morro Agudo de Goiás,1345,centre
2016,5213905,Mossâmedes,2659,left
2016,5214002,Mozarlândia,4601,centre
2016,5214051,Mundo Novo,2137,right
2016,5214101,Mutunópolis,2168,centre
2016,5214408,Nazário,3674,right
2016,5214507,Nerópolis,9277,centre-right
2016,5214606,Niquelândia,10603,left
2016,5214705,Nova América,1157,centre
2016,5214804,Nova Aurora,1244,left
2016,5214838,Nova Crixás,4953,right
2016,5214861,Nova Glória,3721,right
2016,5214879,Nova Iguaçu de Goiás,1558,centre
2016,5214903,Nova Roma,1492,centre
2016,5215009,Nova Veneza,2961,centre
2016,5215207,Novo Brasil,1622,centre
2016,5215231,Novo Gama,22393,centre
2016,5215256,Novo Planalto,1325,centre
2016,5215306,Orizona,5248,centre
2016,5215405,Ouro Verde de Goiás,1988,right
2016,5215504,Ouvidor,3859,centre
2016,5215603,Padre Bernardo,7700,centre
2016,5215652,Palestina de Goiás,1634,centre
2016,5215702,Palmeiras de Goiás,10522,centre
2016,5215801,Palmelo,1127,centre
2016,5215900,Palminópolis,1694,right
2016,5216007,Panamá,1105,right
2016,5216304,Paranaiguara,2653,centre
2016,5216403,Paraúna,3901,centre-right
2016,5216452,Perolândia,1664,centre
2016,5216809,Petrolina de Goiás,3373,right
2016,5216908,Pilar de Goiás,1682,centre
2016,5217104,Piracanjuba,7427,centre
2016,5217203,Piranhas,4010,right
2016,5217302,Pirenópolis,6371,right
2016,5217401,Pires do Rio,10124,right
2016,5217609,Planaltina,15646,centre
2016,5217708,Pontalina,7668,centre
2016,5218003,Porangatu,10141,centre
2016,5218052,Porteirão,1561,right
2016,5218102,Portelândia,1751,centre
2016,5218300,Posse,10400,centre
2016,5218391,Professor Jamil,1462,centre
2016,5218508,Quirinópolis,16003,centre
2016,5218607,Rialma,4168,right
2016,5218706,Rianápolis,1772,centre
2016,5218789,Rio Quente,1688,right
2016,5218805,Rio Verde,47963,centre
2016,5218904,Rubiataba,7089,centre
2016,5219001,Sanclerlândia,3923,centre
2016,5219100,Santa Bárbara de Goiás,2224,right
2016,5219209,Santa Cruz de Goiás,1329,far-right
2016,5219258,Santa Fé de Goiás,1985,centre
2016,5219308,Santa Helena de Goiás,12972,centre-right
2016,5219357,Santa Isabel,1631,centre
2016,5219407,Santa Rita do Araguaia,1956,centre
2016,5219456,Santa Rita do Novo Destino,1046,centre
2016,5219506,Santa Rosa de Goiás,1561,centre
2016,5219605,Santa Tereza de Goiás,1406,centre
2016,5219704,Santa Terezinha de Goiás,3354,right
2016,5219712,Santo Antônio da Barra,1806,right
2016,5219738,Santo Antônio de Goiás,2737,centre
2016,5219753,Santo Antônio do Descoberto,21447,centre
2016,5220454,Senador Canedo,21382,centre
2016,5220504,Serranópolis,2769,centre
2016,5220603,Silvânia,5613,centre
2016,5220686,Simolândia,1837,left
2016,5219803,São Domingos,3202,centre
2016,5219902,São Francisco de Goiás,2825,centre
2016,5220009,São João d'Aliança,2782,right
2016,5220058,São João da Paraúna,1362,centre
2016,5220157,São Luiz do Norte,2155,centre
2016,5220108,São Luís de Montes Belos,8955,left
2016,5220207,São Miguel do Araguaia,5956,centre
2016,5220264,São Miguel do Passa Quatro,1676,centre
2016,5220280,São Patrício,1457,centre
2016,5220405,São Simão,6186,right
2016,5220702,Sítio d'Abadia,1292,centre
2016,5221007,Taquaral de Goiás,2224,centre
2016,5221080,Teresina de Goiás,1123,centre
2016,5221197,Terezópolis de Goiás,2592,centre
2016,5221403,Trindade,31722,centre
2016,5221452,Trombas,1184,right
2016,5221304,Três Ranchos,1734,centre
2016,5221551,Turvelândia,1969,right
2016,5221502,Turvânia,2118,centre
2016,5221577,Uirapuru,1235,centre
2016,5221700,Uruana,3171,centre
2016,5221601,Uruaçu,8632,centre
2016,5221809,Urutaí,1767,right
2016,5221858,Valparaíso de Goiás,27984,centre
2016,5221908,Varjão,1223,far-left
2016,5222005,Vianópolis,7224,right
2016,5222054,Vicentinópolis,2965,centre
2016,5222203,Vila Boa,1731,far-right
2016,5222302,Vila Propício,1997,right
2016,5200175,Água Fria de Goiás,2402,right
2016,5200209,Água Limpa,1147,right
2016,5200258,Águas Lindas de Goiás,39746,centre
