Year Election,City Code,City,Num Votes,Position
2016,3100104,Abadia dos Dourados,2792,right
2016,3100203,Abaeté,9948,right
2016,3100302,Abre Campo,4939,left
2016,3100401,Acaiaca,1555,left
2016,3100807,Aguanil,1817,centre
2016,3101102,Aimorés,8107,centre
2016,3101201,Aiuruoca,2638,right
2016,3101300,Alagoa,1312,centre
2016,3101409,Albertina,1503,right
2016,3101607,Alfenas,17596,left
2016,3101631,Alfredo Vasconcelos,3082,centre-right
2016,3101706,Almenara,10734,centre
2016,3101805,Alpercata,2368,centre
2016,3101904,Alpinópolis,6506,centre
2016,3102001,Alterosa,4914,left
2016,3102050,Alto Caparaó,2473,centre
2016,3153509,Alto Jequitibá,3718,right
2016,3102100,Alto Rio Doce,4125,centre
2016,3102209,Alvarenga,2099,centre
2016,3102308,Alvinópolis,5641,right
2016,3102407,Alvorada de Minas,1931,centre
2016,3101508,Além Paraíba,13534,right
2016,3102506,Amparo do Serra,1906,centre-right
2016,3102605,Andradas,14687,centre
2016,3102803,Andrelândia,4751,centre
2016,3102852,Angelândia,2559,centre
2016,3102902,Antônio Carlos,4331,centre
2016,3103009,Antônio Dias,3905,centre
2016,3103108,Antônio Prado de Minas,1050,right
2016,3103306,Aracitaba,1110,centre
2016,3103504,Araguari,30442,centre
2016,3103603,Arantina,1213,right
2016,3103702,Araponga,3197,far-left
2016,3103751,Araporã,2958,right
2016,3103801,Arapuá,1687,centre
2016,3104007,Araxá,30398,right
2016,3103207,Araçaí,1089,right
2016,3103405,Araçuaí,8851,far-left
2016,3103900,Araújos,3149,centre
2016,3104106,Arceburgo,4098,right
2016,3104205,Arcos,10802,centre
2016,3104304,Areado,3331,right
2016,3104403,Argirita,1324,right
2016,3104452,Aricanduva,1865,left
2016,3104502,Arinos,5308,centre
2016,3104601,Astolfo Dutra,4562,centre
2016,3104700,Ataléia,5550,right
2016,3104809,Augusto de Lima,1443,left
2016,3100500,Açucena,2531,left
2016,3104908,Baependi,6131,left
2016,3105004,Baldim,2459,left
2016,3105103,Bambuí,5278,left
2016,3105202,Bandeira,1947,centre-right
2016,3105301,Bandeira do Sul,2840,centre
2016,3105608,Barbacena,14291,left
2016,3105707,Barra Longa,1845,centre
2016,3105905,Barroso,7094,centre
2016,3105400,Barão de Cocais,10282,centre
2016,3105509,Barão de Monte Alto,2719,right
2016,3106002,Bela Vista de Minas,3684,right
2016,3106101,Belmiro Braga,1411,right
2016,3106200,Belo Horizonte,953308,centre
2016,3106309,Belo Oriente,6689,centre
2016,3106408,Belo Vale,5452,right
2016,3106507,Berilo,3435,centre
2016,3106655,Berizal,1699,right
2016,3106606,Bertópolis,1622,centre
2016,3106705,Betim,119750,centre-right
2016,3106804,Bias Fortes,1709,right
2016,3106903,Bicas,3695,centre
2016,3107000,Biquinhas,1386,centre
2016,3107109,Boa Esperança,11255,centre
2016,3107208,Bocaina de Minas,1082,right
2016,3107307,Bocaiúva,9936,centre
2016,3107406,Bom Despacho,17322,far-left
2016,3107505,Bom Jardim de Minas,2705,right
2016,3107604,Bom Jesus da Penha,2168,right
2016,3107703,Bom Jesus do Amparo,2513,left
2016,3107802,Bom Jesus do Galho,5651,right
2016,3107901,Bom Repouso,4719,centre
2016,3108008,Bom Sucesso,5771,right
2016,3108107,Bonfim,2302,centre
2016,3108206,Bonfinópolis de Minas,2024,centre
2016,3108255,Bonito de Minas,3261,far-left
2016,3108305,Borda da Mata,5054,centre
2016,3108404,Botelhos,3812,right
2016,3108503,Botumirim,2593,right
2016,3108552,Brasilândia de Minas,5408,centre
2016,3108602,Brasília de Minas,13131,centre
2016,3108909,Brazópolis,6066,centre
2016,3108800,Braúnas,1400,centre
2016,3109006,Brumadinho,11945,centre
2016,3108701,Brás Pires,2082,right
2016,3109105,Bueno Brandão,4858,centre
2016,3109204,Buenópolis,3169,left
2016,3109253,Bugre,1983,centre
2016,3109303,Buritis,7511,left
2016,3109402,Buritizeiro,7015,centre
2016,3109451,Cabeceira Grande,2237,right
2016,3109501,Cabo Verde,3870,centre
2016,3109600,Cachoeira da Prata,1529,centre
2016,3109709,Cachoeira de Minas,4217,right
2016,3102704,Cachoeira de Pajeú,3291,left
2016,3109808,Cachoeira Dourada,1055,centre
2016,3109907,Caetanópolis,3359,centre
2016,3110004,Caeté,10429,right
2016,3110103,Caiana,1799,right
2016,3110202,Cajuri,1696,left
2016,3110301,Caldas,5279,right
2016,3110400,Camacho,1207,right
2016,3110509,Camanducaia,6855,centre
2016,3110707,Cambuquira,4293,right
2016,3110608,Cambuí,5833,right
2016,3110905,Campanha,6207,far-left
2016,3110806,Campanário,1642,centre
2016,3111002,Campestre,8051,centre
2016,3111101,Campina Verde,6113,centre
2016,3111150,Campo Azul,1857,right
2016,3111200,Campo Belo,22210,left
2016,3111309,Campo do Meio,4313,centre
2016,3111408,Campo Florido,2713,right
2016,3111507,Campos Altos,4053,centre
2016,3111606,Campos Gerais,8498,centre
2016,3111903,Cana Verde,2760,right
2016,3111705,Canaã,1425,right
2016,3112000,Candeias,6349,right
2016,3112059,Cantagalo,1735,left
2016,3111804,Canápolis,4053,right
2016,3112109,Caparaó,1874,centre
2016,3112208,Capela Nova,2181,right
2016,3112307,Capelinha,11687,right
2016,3112406,Capetinga,2537,centre
2016,3112505,Capim Branco,3886,centre
2016,3112604,Capinópolis,4230,left
2016,3112653,Capitão Andrade,2497,centre
2016,3112703,Capitão Enéas,5515,right
2016,3112802,Capitólio,3806,left
2016,3112901,Caputira,4392,right
2016,3113107,Caranaíba,1620,far-left
2016,3113206,Carandaí,6599,centre
2016,3113305,Carangola,6764,centre
2016,3113404,Caratinga,17516,right
2016,3113008,Caraí,3512,left
2016,3113503,Carbonita,3187,centre
2016,3113602,Careaçu,2479,right
2016,3113701,Carlos Chagas,6842,far-left
2016,3113909,Carmo da Cachoeira,3823,centre
2016,3114006,Carmo da Mata,3954,centre
2016,3114105,Carmo de Minas,5336,centre
2016,3114204,Carmo do Cajuru,6647,left
2016,3114303,Carmo do Paranaíba,8139,centre
2016,3114402,Carmo do Rio Claro,5064,centre
2016,3113800,Carmésia,1436,centre
2016,3114501,Carmópolis de Minas,6371,centre
2016,3114550,Carneirinho,3490,centre
2016,3114600,Carrancas,1902,centre
2016,3114808,Carvalhos,1764,right
2016,3114709,Carvalhópolis,1394,right
2016,3114907,Casa Grande,1196,centre
2016,3115003,Cascalho Rico,1419,centre
2016,3115300,Cataguases,16798,centre
2016,3115359,Catas Altas,2047,centre
2016,3115409,Catas Altas da Noruega,1329,right
2016,3115458,Catuji,3286,right
2016,3115474,Catuti,1746,centre
2016,3115508,Caxambu,6588,centre
2016,3115607,Cedro do Abaeté,617,right
2016,3115706,Central de Minas,2549,right
2016,3115805,Centralina,3258,centre
2016,3116001,Chalé,2211,centre
2016,3116100,Chapada do Norte,3660,centre-right
2016,3116159,Chapada Gaúcha,2788,left
2016,3116209,Chiador,886,far-left
2016,3115904,Chácara,1232,centre-right
2016,3116308,Cipotânea,2708,centre-right
