Year Election,City Code,City,Num Votes,Position
2016,5100102,Acorizal,2660,centre
2016,5100250,Alta Floresta,11759,centre
2016,5100300,Alto Araguaia,6152,left
2016,5100359,Alto Boa Vista,1037,right
2016,5100409,Alto Garças,3295,right
2016,5100508,Alto Paraguai,2699,centre
2016,5100607,Alto Taquari,1976,right
2016,5100805,Apiacás,2525,centre
2016,5101001,Araguaiana,1446,centre
2016,5101209,Araguainha,523,centre
2016,5101258,Araputanga,5333,left
2016,5101308,Arenápolis,2771,centre
2016,5101407,Aripuanã,4254,right
2016,5101704,Barra do Bugres,7954,left
2016,5101803,Barra do Garças,20275,centre
2016,5101605,Barão de Melgaço,2604,right
2016,5101852,Bom Jesus do Araguaia,1967,centre
2016,5101902,Brasnorte,4065,centre
2016,5102603,Campinápolis,4913,centre
2016,5102637,Campo Novo do Parecis,6337,centre
2016,5102678,Campo Verde,11018,left
2016,5102686,Campos de Júlio,2439,right
2016,5102694,Canabrava do Norte,1502,right
2016,5102702,Canarana,7075,centre
2016,5102793,Carlinda,4034,right
2016,5102850,Castanheira,2690,left
2016,5103007,Chapada dos Guimarães,5110,centre
2016,5103056,Cláudia,2991,centre
2016,5103106,Cocalinho,2122,centre
2016,5103254,Colniza,5070,left
2016,5103205,Colíder,8622,centre
2016,5103304,Comodoro,5487,right
2016,5103353,Confresa,6368,centre
2016,5103361,Conquista D'Oeste,827,centre
2016,5103379,Cotriguaçu,3179,left
2016,5103403,Cuiabá,255928,centre
2016,5103437,Curvelândia,1867,centre
2016,5102504,Cáceres,22372,centre
2016,5103452,Denise,2708,centre
2016,5103502,Diamantino,7527,left
2016,5103601,Dom Aquino,2723,left
2016,5103700,Feliz Natal,2842,centre
2016,5103809,Figueirópolis D'Oeste,1487,centre
2016,5103858,Gaúcha do Norte,1850,centre
2016,5103908,General Carneiro,1727,right
2016,5103957,Glória D'Oeste,1522,left
2016,5104104,Guarantã do Norte,4881,centre-right
2016,5104203,Guiratinga,3807,centre
2016,5104500,Indiavaí,914,centre
2016,5104526,Ipiranga do Norte,1674,centre
2016,5104542,Itanhangá,1933,right
2016,5104559,Itaúba,2192,centre
2016,5104609,Itiquira,4907,centre
2016,5104807,Jaciara,7956,centre
2016,5104906,Jangada,2733,centre
2016,5105002,Jauru,3208,centre
2016,5105101,Juara,8808,left
2016,5105176,Juruena,3491,centre
2016,5105200,Juscimeira,3077,centre
2016,5105150,Juína,12187,left
2016,5105234,Lambari D'Oeste,1410,left
2016,5105259,Lucas do Rio Verde,14408,right
2016,5105309,Luciara,691,right
2016,5105580,Marcelândia,3670,centre
2016,5105606,Matupá,4401,centre
2016,5105622,Mirassol d'Oeste,7830,centre
2016,5105903,Nobres,4497,centre
2016,5106000,Nortelândia,2127,centre
2016,5106109,Nossa Senhora do Livramento,6384,centre
2016,5106158,Nova Bandeirantes,2444,left
2016,5106208,Nova Brasilândia,1816,centre
2016,5106216,Nova Canaã do Norte,4608,left
2016,5108808,Nova Guarita,1493,centre
2016,5106182,Nova Lacerda,2182,right
2016,5108857,Nova Marilândia,1217,centre
2016,5108907,Nova Maringá,2054,centre
2016,5108956,Nova Monte Verde,2085,centre
2016,5106224,Nova Mutum,16720,left
2016,5106174,Nova Nazaré,1128,right
2016,5106232,Nova Olímpia,6580,right
2016,5106190,Nova Santa Helena,1531,right
2016,5106240,Nova Ubiratã,2508,centre
2016,5106257,Nova Xavantina,7932,right
2016,5106273,Novo Horizonte do Norte,1384,centre
2016,5106265,Novo Mundo,2604,centre
2016,5106315,Novo Santo Antônio,575,centre-right
2016,5106281,Novo São Joaquim,1956,centre
2016,5106307,Paranatinga,4541,centre
2016,5106299,Paranaíta,3994,centre
2016,5106372,Pedra Preta,4621,right
2016,5106422,Peixoto de Azevedo,8535,centre
2016,5106455,Planalto da Serra,885,right
2016,5106505,Poconé,6393,right
2016,5106653,Pontal do Araguaia,1736,centre
2016,5106703,Ponte Branca,1181,centre
2016,5106752,Pontes e Lacerda,11817,centre-right
2016,5106778,Porto Alegre do Norte,2057,left
2016,5106802,Porto dos Gaúchos,1995,centre
2016,5106828,Porto Esperidião,2827,right
2016,5106851,Porto Estrela,1048,right
2016,5107008,Poxoréu,3697,left
2016,5107040,Primavera do Leste,19057,left
2016,5107065,Querência,4822,right
2016,5107156,Reserva do Cabaçal,1023,centre
2016,5107180,Ribeirão Cascalheira,2635,right
2016,5107198,Ribeirãozinho,1097,centre
2016,5107206,Rio Branco,1763,right
2016,5107578,Rondolândia,1048,right
2016,5107602,Rondonópolis,39352,centre
2016,5107701,Rosário Oeste,4062,right
2016,5107750,Salto do Céu,1605,centre
2016,5107248,Santa Carmem,1634,right
2016,5107743,Santa Cruz do Xingu,659,left
2016,5107768,Santa Rita do Trivelato,888,centre
2016,5107776,Santa Terezinha,1826,left
2016,5107263,Santo Afonso,1088,centre
2016,5107792,Santo Antônio do Leste,1126,right
2016,5107800,Santo Antônio do Leverger,6085,centre
2016,5107875,Sapezal,5211,right
2016,5107883,Serra Nova Dourada,734,centre
2016,5107909,Sinop,23981,right
2016,5107925,Sorriso,21008,centre
2016,5107859,São Félix do Araguaia,2908,centre
2016,5107297,São José do Povo,1420,centre
2016,5107305,São José do Rio Claro,4238,right
2016,5107354,São José do Xingu,1429,right
2016,5107107,São José dos Quatro Marcos,6355,centre
2016,5107404,São Pedro da Cipa,2306,right
2016,5107941,Tabaporã,2259,left
2016,5107958,Tangará da Serra,18063,centre
2016,5108006,Tapurah,3025,right
2016,5108055,Terra Nova do Norte,3694,right
2016,5108105,Tesouro,1176,centre
2016,5108204,Torixoréu,1520,right
