Year Election,City Code,City,Num Votes,Position
2016,2500205,Aguiar,2656,right
2016,2500304,Alagoa Grande,7474,centre
2016,2500403,Alagoa Nova,6174,centre
2016,2500502,Alagoinha,4656,centre
2016,2500536,Alcantil,1997,centre-right
2016,2500577,Algodão de Jandaíra,1234,centre
2016,2500601,Alhandra,7722,right
2016,2500734,Amparo,1030,right
2016,2500775,Aparecida,2911,centre
2016,2500908,Arara,3980,right
2016,2501005,Araruna,5860,right
2016,2500809,Araçagi,6158,left
2016,2501104,Areia,8873,centre
2016,2501153,Areia de Baraúnas,832,right
2016,2501203,Areial,2603,centre
2016,2501302,Aroeiras,6269,centre
2016,2501351,Assunção,1981,right
2016,2501500,Bananeiras,6779,left
2016,2501534,Baraúna,1934,left
2016,2501609,Barra de Santa Rosa,5575,right
2016,2501575,Barra de Santana,2999,right
2016,2501708,Barra de São Miguel,2364,left
2016,2501807,Bayeux,33437,right
2016,2501401,Baía da Traição,2034,right
2016,2501906,Belém,5401,centre
2016,2502003,Belém do Brejo do Cruz,2820,centre
2016,2502052,Bernardino Batista,1962,left
2016,2502102,Boa Ventura,2376,centre
2016,2502151,Boa Vista,2916,left
2016,2502201,Bom Jesus,1638,centre
2016,2502300,Bom Sucesso,2159,right
2016,2502409,Bonito de Santa Fé,3425,left
2016,2502508,Boqueirão,8107,centre
2016,2502706,Borborema,2037,right
2016,2502805,Brejo do Cruz,4672,right
2016,2502904,Brejo dos Santos,2634,centre
2016,2503001,Caaporã,9795,left
2016,2503100,Cabaceiras,2083,right
2016,2503209,Cabedelo,15901,centre-right
2016,2503308,Cachoeira dos Índios,3042,left
2016,2503407,Cacimba de Areia,1501,centre
2016,2503506,Cacimba de Dentro,5420,left
2016,2503555,Cacimbas,2264,left
2016,2503605,Caiçara,2996,left
2016,2503704,Cajazeiras,16926,right
2016,2503753,Cajazeirinhas,1798,left
2016,2503803,Caldas Brandão,2704,right
2016,2503902,Camalaú,2335,centre
2016,2504009,Campina Grande,138996,centre
2016,2504033,Capim,2454,centre
2016,2504074,Caraúbas,1734,left
2016,2504108,Carrapateira,1031,right
2016,2504157,Casserengue,2387,centre
2016,2504207,Catingueira,2339,centre
2016,2504306,Catolé do Rocha,9757,right
2016,2504355,Caturité,2194,centre
2016,2504405,Conceição,6358,right
2016,2504504,Condado,3107,right
2016,2504603,Conde,6477,left
2016,2504702,Congo,2733,left
2016,2504801,Coremas,4640,left
2016,2504850,Coxixola,866,right
2016,2504900,Cruz do Espírito Santo,6934,centre
2016,2505006,Cubati,3160,left
2016,2505204,Cuitegi,2396,left
2016,2505105,Cuité,6887,right
2016,2505238,Cuité de Mamanguape,2998,right
2016,2505279,Curral de Cima,2155,centre
2016,2505303,Curral Velho,990,centre
2016,2505352,Damião,2013,centre
2016,2505402,Desterro,2797,right
2016,2505600,Diamante,2534,centre
2016,2505709,Dona Inês,3424,centre
2016,2505808,Duas Estradas,1635,right
2016,2505907,Emas,1462,centre
2016,2506004,Esperança,10742,left
2016,2506103,Fagundes,4018,centre
2016,2506202,Frei Martinho,1319,left
2016,2506251,Gado Bravo,3108,centre
2016,2506301,Guarabira,15609,right
2016,2506400,Gurinhém,4536,centre
2016,2506509,Gurjão,1800,right
2016,2506608,Ibiara,2649,left
2016,2502607,Igaracy,2291,right
2016,2506707,Imaculada,3762,centre
2016,2506806,Ingá,6174,centre
2016,2506905,Itabaiana,9485,left
2016,2507002,Itaporanga,7421,centre
2016,2507101,Itapororoca,5505,right
2016,2507200,Itatuba,5245,left
2016,2507309,Jacaraú,5479,centre
2016,2507408,Jericó,2829,right
2016,2507507,João Pessoa,222689,centre
2016,2507606,Juarez Távora,2914,centre
2016,2507705,Juazeirinho,5911,centre
2016,2507804,Junco do Seridó,2969,left
2016,2507903,Juripiranga,4295,left
2016,2508000,Juru,3635,left
2016,2508109,Lagoa,1646,left
2016,2508208,Lagoa de Dentro,3109,centre
2016,2508307,Lagoa Seca,10389,right
2016,2508406,Lastro,1653,centre
2016,2508505,Livramento,2617,right
2016,2508554,Logradouro,1611,left
2016,2508604,Lucena,3765,left
2016,2508802,Malta,2737,centre
2016,2508901,Mamanguape,12859,left
2016,2509008,Manaíra,3573,left
2016,2509057,Marcação,2679,left
2016,2509107,Mari,6298,centre
2016,2509156,Marizópolis,2584,centre
2016,2509206,Massaranduba,4250,centre
2016,2509305,Mataraca,2508,right
2016,2509339,Matinhas,1856,centre
2016,2509370,Mato Grosso,1832,centre
2016,2509396,Maturéia,2216,left
2016,2509404,Mogeiro,4434,right
2016,2509503,Montadas,1967,centre
2016,2509602,Monte Horebe,1755,centre
2016,2509701,Monteiro,11399,centre
2016,2509800,Mulungu,4291,right
2016,2508703,Mãe d'Água,2374,centre
2016,2509909,Natuba,2784,centre
2016,2510006,Nazarezinho,2612,centre
