Year Election,City Code,City,Num Votes,Position
2016,2600054,Abreu e Lima,21839,left
2016,2600104,Afogados da Ingazeira,15639,left
2016,2600203,Afrânio,7814,centre
2016,2600302,Agrestina,8997,centre
2016,2600609,Alagoinha,6082,left
2016,2600708,Aliança,11017,centre
2016,2600807,Altinho,7572,left
2016,2600906,Amaraji,7800,right
2016,2601003,Angelim,3416,left
2016,2601102,Araripina,18332,right
2016,2601052,Araçoiaba,6616,left
2016,2601201,Arcoverde,21103,left
2016,2601300,Barra de Guabiraba,4210,centre
2016,2601409,Barreiros,10459,left
2016,2601706,Belo Jardim,16077,left
2016,2601508,Belém de Maria,3829,right
2016,2601607,Belém do São Francisco,7097,centre
2016,2601805,Betânia,4609,right
2016,2601904,Bezerros,20714,left
2016,2602001,Bodocó,11005,right
2016,2602100,Bom Conselho,15484,centre
2016,2602209,Bom Jardim,12070,centre
2016,2602308,Bonito,12544,left
2016,2602506,Brejinho,3474,left
2016,2602605,Brejo da Madre de Deus,12885,centre
2016,2602407,Brejão,4562,left
2016,2602704,Buenos Aires,4841,right
2016,2602803,Buíque,13461,centre
2016,2602902,Cabo de Santo Agostinho,66970,left
2016,2603009,Cabrobó,10564,centre
2016,2603108,Cachoeirinha,7852,left
2016,2603207,Caetés,8353,right
2016,2603405,Calumbi,2829,left
2016,2603306,Calçado,3416,right
2016,2603454,Camaragibe,48019,right
2016,2603504,Camocim de São Félix,6127,centre
2016,2603603,Camutanga,3103,left
2016,2603702,Canhotinho,8653,centre
2016,2603801,Capoeiras,6019,left
2016,2603926,Carnaubeira da Penha,4801,right
2016,2603900,Carnaíba,8294,left
2016,2604007,Carpina,23870,left
2016,2604106,Caruaru,146376,centre
2016,2604155,Casinhas,4861,left
2016,2604205,Catende,7556,centre
2016,2604304,Cedro,4210,right
2016,2604403,Chã de Alegria,4552,left
2016,2604502,Chã Grande,8932,right
2016,2604601,Condado,7654,right
2016,2604700,Correntes,5151,left
2016,2604809,Cortês,4711,left
2016,2604908,Cumaru,6512,right
2016,2605004,Cupira,7612,right
2016,2605103,Custódia,12528,centre
2016,2605152,Dormentes,7525,left
2016,2605202,Escada,17240,left
2016,2605301,Exu,9204,right
2016,2605400,Feira Nova,7638,right
2016,2605509,Ferreiros,4144,centre
2016,2605608,Flores,6914,centre
2016,2605707,Floresta,9036,centre-right
2016,2605806,Frei Miguelinho,4897,left
2016,2605905,Gameleira,5665,left
2016,2606002,Garanhuns,44275,right
2016,2606101,Glória do Goitá,10589,right
2016,2606200,Goiana,20161,centre
2016,2606309,Granito,3016,left
2016,2606408,Gravatá,27136,centre
2016,2606507,Iati,5241,left
2016,2606606,Ibimirim,8445,right
2016,2606705,Ibirajuba,2808,left
2016,2606804,Igarassu,38708,right
2016,2606903,Iguaracy,3830,left
2016,2607604,Ilha de Itamaracá,6763,left
2016,2607000,Inajá,5285,right
2016,2607109,Ingazeira,1831,centre
2016,2607208,Ipojuca,32496,right
2016,2607307,Ipubi,8899,left
2016,2607406,Itacuruba,2249,centre
2016,2607653,Itambé,8608,left
2016,2607703,Itapetim,5489,left
2016,2607752,Itapissuma,7314,centre
2016,2607802,Itaquitinga,6150,left
2016,2607505,Itaíba,7131,right
2016,2607901,Jaboatão dos Guararapes,270727,right
2016,2607950,Jaqueira,3938,left
2016,2608008,Jataúba,5535,centre
2016,2608057,Jatobá,3233,centre
2016,2608206,Joaquim Nabuco,4324,right
2016,2608107,João Alfredo,10063,right
2016,2608255,Jucati,4145,left
2016,2608305,Jupi,5503,right
2016,2608404,Jurema,6132,right
2016,2608503,Lagoa de Itaenga,7738,left
2016,2608453,Lagoa do Carro,5863,centre
2016,2608602,Lagoa do Ouro,4692,left
2016,2608701,Lagoa dos Gatos,4166,left
2016,2608750,Lagoa Grande,7877,centre
2016,2608800,Lajedo,12454,centre
2016,2608909,Limoeiro,17584,left
2016,2609006,Macaparana,7797,right
2016,2609105,Machados,4478,centre
2016,2609154,Manari,6042,centre
2016,2609204,Maraial,5155,right
2016,2609303,Mirandiba,5206,centre
2016,2614303,Moreilândia,4362,centre
2016,2609402,Moreno,16307,right
2016,2609501,Nazaré da Mata,8970,centre
2016,2609600,Olinda,166701,centre
2016,2609709,Orobó,8370,centre
2016,2609808,Orocó,5173,left
2016,2609907,Ouricuri,15851,centre
2016,2610004,Palmares,20093,centre
2016,2610103,Palmeirina,2653,left
2016,2610202,Panelas,9127,left
2016,2610301,Paranatama,4846,left
2016,2610400,Parnamirim,7755,left
2016,2610509,Passira,10013,right
2016,2610608,Paudalho,19760,centre
2016,2610707,Paulista,67110,left
2016,2610806,Pedra,7637,left
2016,2610905,Pesqueira,19894,centre-right
2016,2611101,Petrolina,60509,left
2016,2611002,Petrolândia,7224,right
2016,2611309,Pombos,8952,left
2016,2611200,Poção,3812,centre
2016,2611408,Primavera,3664,left
2016,2611507,Quipapá,6508,left
2016,2611533,Quixaba,2821,right
2016,2611606,Recife,959332,left
2016,2611705,Riacho das Almas,7732,left
2016,2611804,Ribeirão,17827,left
2016,2611903,Rio Formoso,6798,left
2016,2612000,Sairé,6181,left
2016,2612109,Salgadinho,3121,centre
2016,2612208,Salgueiro,17417,right
2016,2612307,Saloá,5652,centre
2016,2612406,Sanharó,6384,left
2016,2612455,Santa Cruz,5797,right
2016,2612471,Santa Cruz da Baixa Verde,4197,right
2016,2612505,Santa Cruz do Capibaribe,22879,centre
2016,2612554,Santa Filomena,4847,left
2016,2612604,Santa Maria da Boa Vista,9112,right
2016,2612703,Santa Maria do Cambucá,6456,left
2016,2612802,Santa Terezinha,4228,right
2016,2613909,Serra Talhada,24532,left
2016,2614006,Serrita,6187,centre
2016,2614105,Sertânia,10846,left
2016,2614204,Sirinhaém,14398,right
2016,2614402,Solidão,2335,left
2016,2614501,Surubim,18188,left
2016,2612901,São Benedito do Sul,3555,right
2016,2613008,São Bento do Una,15960,left
2016,2613107,São Caitano,13130,centre
2016,2613305,São Joaquim do Monte,7710,centre
2016,2613404,São José da Coroa Grande,5642,far-right
2016,2613503,São José do Belmonte,12534,centre-right
2016,2613602,São José do Egito,9497,left
2016,2613206,São João,6987,centre
2016,2613701,São Lourenço da Mata,32802,right
2016,2613800,São Vicente Ferrer,5802,left
2016,2614600,Tabira,6736,right
2016,2614709,Tacaimbó,4594,left
2016,2614808,Tacaratu,5770,centre
2016,2614857,Tamandaré,7401,right
2016,2615003,Taquaritinga do Norte,8193,right
2016,2615102,Terezinha,2666,left
2016,2615201,Terra Nova,4894,right
2016,2615300,Timbaúba,17725,centre
2016,2615409,Toritama,9212,centre
2016,2615508,Tracunhaém,4794,right
2016,2615607,Trindade,9032,left
2016,2615706,Triunfo,6618,right
2016,2615805,Tupanatinga,5971,right
2016,2615904,Tuparetama,3504,right
2016,2616001,Venturosa,6889,right
2016,2616100,Verdejante,3917,right
2016,2616183,Vertente do Lério,3135,centre
2016,2616209,Vertentes,7148,centre
2016,2616308,Vicência,12396,centre
2016,2616407,Vitória de Santo Antão,30935,left
2016,2616506,Xexéu,5272,left
2016,2600401,Água Preta,7324,left
2016,2600500,Águas Belas,11978,left
