Year Election,City Code,City,Num Votes,Position
2016,2200053,Acauã,2541,centre
2016,2200103,Agricolândia,3309,right
2016,2200251,Alagoinha do Piauí,2597,left
2016,2200277,Alegrete do Piauí,1956,left
2016,2200301,Alto Longá,5299,centre
2016,2200400,Altos,17175,left
2016,2200459,Alvorada do Gurguéia,1969,centre
2016,2200509,Amarante,5225,right
2016,2200608,Angical do Piauí,3112,right
2016,2200806,Antônio Almeida,1392,left
2016,2200707,Anísio de Abreu,2938,left
2016,2200905,Aroazes,2506,right
2016,2200954,Aroeiras do Itaim,1577,right
2016,2201002,Arraial,1731,left
2016,2201051,Assunção do Piauí,2699,centre
2016,2201101,Avelino Lopes,3784,right
2016,2201150,Baixa Grande do Ribeiro,4165,left
2016,2201176,Barra D'Alcântara,1532,right
2016,2201200,Barras,14299,right
2016,2201309,Barreiras do Piauí,1463,left
2016,2201408,Barro Duro,2038,right
2016,2201507,Batalha,7348,right
2016,2201556,Bela Vista do Piauí,1453,right
2016,2201572,Belém do Piauí,1814,centre
2016,2201606,Beneditinos,4061,centre
2016,2201705,Bertolínia,2204,left
2016,2201739,Betânia do Piauí,3137,right
2016,2201770,Boa Hora,2505,centre
2016,2201804,Bocaina,2772,left
2016,2201903,Bom Jesus,7767,centre
2016,2201919,Bom Princípio do Piauí,3802,right
2016,2201929,Bonfim do Piauí,1935,centre
2016,2201945,Boqueirão do Piauí,2571,left
2016,2201960,Brasileira,2891,centre
2016,2201988,Brejo do Piauí,2176,right
2016,2202000,Buriti dos Lopes,7052,right
2016,2202026,Buriti dos Montes,2800,centre
2016,2202059,Cabeceiras do Piauí,4198,right
2016,2202075,Cajazeiras do Piauí,1409,left
2016,2202083,Cajueiro da Praia,2629,centre-right
2016,2202091,Caldeirão Grande do Piauí,3039,left
2016,2202109,Campinas do Piauí,2192,far-right
2016,2202117,Campo Alegre do Fidalgo,1947,right
2016,2202133,Campo Grande do Piauí,2206,centre
2016,2202174,Campo Largo do Piauí,2535,centre
2016,2202208,Campo Maior,14264,left
2016,2202251,Canavieira,1510,right
2016,2202307,Canto do Buriti,6039,right
2016,2202406,Capitão de Campos,3761,left
2016,2202455,Capitão Gervásio Oliveira,1499,centre
2016,2202505,Caracol,3866,left
2016,2202539,Caraúbas do Piauí,2486,left
2016,2202554,Caridade do Piauí,2295,centre
2016,2202604,Castelo do Piauí,6866,left
2016,2202653,Caxingó,2085,centre
2016,2202703,Cocal,10093,centre
2016,2202711,Cocal de Telha,2267,right
2016,2202729,Cocal dos Alves,2259,left
2016,2202737,Coivaras,2548,left
2016,2202752,Colônia do Gurguéia,2200,left
2016,2202778,Colônia do Piauí,2408,right
2016,2202802,Conceição do Canindé,2166,right
2016,2202851,Coronel José Dias,1967,left
2016,2202901,Corrente,8044,centre
2016,2203008,Cristalândia do Piauí,2614,right
2016,2203107,Cristino Castro,2636,left
2016,2203206,Curimatá,3900,right
2016,2203230,Currais,1084,left
2016,2203271,Curral Novo do Piauí,1700,centre
2016,2203255,Curralinhos,1640,centre
2016,2203305,Demerval Lobão,7729,centre
2016,2203354,Dirceu Arcoverde,2451,left
2016,2203404,Dom Expedito Lopes,2563,left
2016,2203453,Dom Inocêncio,3152,right
2016,2203420,Domingos Mourão,1461,right
2016,2203503,Elesbão Veloso,5739,right
2016,2203602,Eliseu Martins,1939,centre
2016,2203701,Esperantina,11314,left
2016,2203750,Fartura do Piauí,2001,centre
2016,2203800,Flores do Piauí,1992,right
2016,2203859,Floresta do Piauí,1168,right
2016,2203909,Floriano,16040,right
2016,2204006,Francinópolis,1768,left
2016,2204105,Francisco Ayres,2135,left
2016,2204154,Francisco Macedo,1229,left
2016,2204204,Francisco Santos,3514,left
2016,2204303,Fronteiras,4239,centre
2016,2204352,Geminiano,2578,right
2016,2204402,Gilbués,3478,far-left
2016,2204501,Guadalupe,4290,centre
2016,2204550,Guaribas,2264,right
2016,2204600,Hugo Napoleão,2319,left
2016,2204659,Ilha Grande,3406,centre
2016,2204709,Inhuma,4609,left
2016,2204808,Ipiranga do Piauí,2939,right
2016,2204907,Isaías Coelho,2615,centre
2016,2205003,Itainópolis,3171,left
2016,2205102,Itaueira,4193,right
2016,2205151,Jacobina do Piauí,2740,left
2016,2205201,Jaicós,4322,centre
2016,2205250,Jardim do Mulato,1773,left
2016,2205276,Jatobá do Piauí,2406,left
2016,2205300,Jerumenha,2036,right
2016,2205409,Joaquim Pires,5895,left
2016,2205458,Joca Marques,2691,right
2016,2205508,José de Freitas,14827,right
2016,2205359,João Costa,1569,centre
2016,2205516,Juazeiro do Piauí,2629,centre
2016,2205532,Jurema,1913,left
2016,2205524,Júlio Borges,2478,right
2016,2205557,Lagoa Alegre,2731,centre
2016,2205573,Lagoa de São Francisco,2071,left
2016,2205565,Lagoa do Barro do Piauí,1948,left
2016,2205581,Lagoa do Piauí,1778,centre
2016,2205599,Lagoa do Sítio,1806,left
2016,2205540,Lagoinha do Piauí,1251,right
2016,2205607,Landri Sales,1986,left
2016,2205706,Luís Correia,11726,left
2016,2205805,Luzilândia,8188,right
2016,2205854,Madeiro,2795,right
2016,2205904,Manoel Emídio,1973,right
2016,2205953,Marcolândia,2947,left
2016,2206001,Marcos Parente,1667,left
2016,2206050,Massapê do Piauí,2754,right
2016,2206100,Matias Olímpio,2534,centre
2016,2206209,Miguel Alves,11333,left
2016,2206308,Miguel Leão,714,centre
2016,2206357,Milton Brandão,2265,left
2016,2206407,Monsenhor Gil,4509,centre
2016,2206506,Monsenhor Hipólito,3086,left
2016,2206605,Monte Alegre do Piauí,3849,left
2016,2206654,Morro Cabeça no Tempo,1784,far-right
2016,2206670,Morro do Chapéu do Piauí,2068,centre
2016,2206696,Murici dos Portelas,2906,centre
2016,2206704,Nazaré do Piauí,3045,right
2016,2206720,Nazária,4598,left
2016,2206753,Nossa Senhora de Nazaré,2966,far-left
2016,2206803,Nossa Senhora dos Remédios,3096,left
2016,2207959,Nova Santa Rita,1727,left
2016,2206902,Novo Oriente do Piauí,2227,right
2016,2206951,Novo Santo Antônio,2363,left
2016,2207009,Oeiras,11481,right
2016,2207108,Olho D'Água do Piauí,1716,left
2016,2207207,Padre Marcos,1916,left
2016,2207306,Paes Landim,1580,left
2016,2207355,Pajeú do Piauí,1670,right
2016,2207405,Palmeira do Piauí,2602,right
2016,2207504,Palmeirais,4846,left
2016,2207553,Paquetá,1873,centre
2016,2207603,Parnaguá,2543,far-left
2016,2207702,Parnaíba,35585,centre
2016,2207751,Passagem Franca do Piauí,1743,right
2016,2207777,Patos do Piauí,2255,left
2016,2207793,Pau D'Arco do Piauí,1882,right
2016,2207801,Paulistana,7416,left
2016,2207850,Pavussu,1968,right
2016,2207900,Pedro II,12615,right
2016,2207934,Pedro Laurentino,1267,right
2016,2208007,Picos,20133,left
2016,2208106,Pimenteiras,4175,right
2016,2208205,Pio IX,4364,left
2016,2208304,Piracuruca,9157,centre
2016,2208403,Piripiri,17956,centre
2016,2208502,Porto,4313,right
2016,2208551,Porto Alegre do Piauí,906,centre
2016,2208601,Prata do Piauí,1300,right
2016,2208650,Queimada Nova,2202,right
2016,2208700,Redenção do Gurguéia,3235,centre-right
2016,2208809,Regeneração,5739,right
2016,2208858,Riacho Frio,1803,centre
2016,2208874,Ribeira do Piauí,1398,far-right
2016,2208908,Ribeiro Gonçalves,2315,left
2016,2209005,Rio Grande do Piauí,2748,right
2016,2209104,Santa Cruz do Piauí,2414,right
2016,2209153,Santa Cruz dos Milagres,1657,right
2016,2209203,Santa Filomena,2297,right
2016,2209302,Santa Luz,1842,centre
2016,2209377,Santa Rosa do Piauí,1816,centre
2016,2209351,Santana do Piauí,1427,right
2016,2209401,Santo Antônio de Lisboa,1841,right
2016,2209450,Santo Antônio dos Milagres,919,centre
2016,2209500,Santo Inácio do Piauí,1864,left
2016,2210623,Sebastião Barros,1916,right
2016,2210631,Sebastião Leal,2159,left
2016,2210656,Sigefredo Pacheco,3011,right
2016,2210805,Simplício Mendes,3965,centre
2016,2210706,Simões,5355,right
2016,2210904,Socorro do Piauí,2055,centre
2016,2210938,Sussuapara,2708,right
2016,2209559,São Braz do Piauí,1859,centre
2016,2209658,São Francisco de Assis do Piauí,1402,right
2016,2209708,São Francisco do Piauí,2540,centre
2016,2209609,São Félix do Piauí,1836,right
2016,2209757,São Gonçalo do Gurguéia,1090,centre
2016,2209807,São Gonçalo do Piauí,2152,left
2016,2210052,São José do Divino,2573,left
2016,2210102,São José do Peixe,1405,centre
2016,2210201,São José do Piauí,2744,centre
2016,2209856,São João da Canabrava,2519,centre
2016,2209872,São João da Fronteira,2188,left
2016,2209906,São João da Serra,3307,far-left
2016,2209955,São João da Varjota,2253,right
2016,2209971,São João do Arraial,2787,left
2016,2210003,São João do Piauí,5619,left
2016,2210300,São Julião,2938,left
2016,2210359,São Lourenço do Piauí,1965,right
2016,2210375,São Luis do Piauí,1286,left
2016,2210383,São Miguel da Baixa Grande,1302,centre
2016,2210391,São Miguel do Fidalgo,1159,centre
2016,2210409,São Miguel do Tapuio,5867,right
2016,2210508,São Pedro do Piauí,4488,centre
2016,2210607,São Raimundo Nonato,9176,right
2016,2210953,Tamboril do Piauí,1226,right
2016,2210979,Tanque do Piauí,1244,left
2016,2211001,Teresina,220042,centre
2016,2211100,União,13572,centre
2016,2211209,Uruçuí,7550,centre
2016,2211308,Valença do Piauí,4734,right
2016,2211506,Vera Mendes,1440,centre
2016,2211605,Vila Nova do Piauí,1578,right
2016,2211357,Várzea Branca,1854,left
2016,2211407,Várzea Grande,1211,far-left
2016,2211704,Wall Ferraz,2008,left
2016,2200202,Água Branca,6354,centre
