Year Election,City Code,City,Num Votes,Position
2016,4100103,Abatiá,3370,left
2016,4100202,Adrianópolis,2900,right
2016,4100301,Agudos do Sul,2957,centre
2016,4100400,Almirante Tamandaré,22068,centre
2016,4100459,Altamira do Paraná,2264,left
2016,4100608,Alto Paraná,5968,far-left
2016,4128625,Alto Paraíso,1363,centre
2016,4100707,Alto Piquiri,2948,right
2016,4100509,Altônia,7449,right
2016,4100806,Alvorada do Sul,3507,centre
2016,4100905,Amaporã,2032,centre
2016,4101002,Ampére,4437,right
2016,4101051,Anahy,1261,right
2016,4101101,Andirá,7207,centre
2016,4101200,Antonina,5709,left
2016,4101309,Antônio Olinto,4000,centre
2016,4101408,Apucarana,60001,centre
2016,4101507,Arapongas,24465,right
2016,4101606,Arapoti,7072,right
2016,4101655,Arapuã,1593,centre
2016,4101705,Araruna,5961,far-left
2016,4101804,Araucária,37206,far-left
2016,4101853,Ariranha do Ivaí,1083,left
2016,4101903,Assaí,5160,far-left
2016,4102000,Assis Chateaubriand,17336,centre
2016,4102109,Astorga,8002,right
2016,4102208,Atalaia,1735,centre
2016,4102307,Balsa Nova,5101,centre
2016,4102406,Bandeirantes,9699,left
2016,4102505,Barbosa Ferraz,3675,far-left
2016,4102703,Barra do Jacaré,1324,right
2016,4102604,Barracão,2391,centre
2016,4102752,Bela Vista da Caroba,1842,centre
2016,4102802,Bela Vista do Paraíso,6902,right
2016,4102901,Bituruna,5519,centre
2016,4103008,Boa Esperança,1793,left
2016,4103024,Boa Esperança do Iguaçu,1658,centre
2016,4103040,Boa Ventura de São Roque,2348,left
2016,4103057,Boa Vista da Aparecida,4044,centre
2016,4103107,Bocaiúva do Sul,4414,centre
2016,4103156,Bom Jesus do Sul,2492,right
2016,4103206,Bom Sucesso,1864,centre
2016,4103222,Bom Sucesso do Sul,1672,left
2016,4103305,Borrazópolis,3330,right
2016,4103354,Braganey,2665,right
2016,4103370,Brasilândia do Sul,1952,right
2016,4103404,Cafeara,1076,centre
2016,4103453,Cafelândia,5567,centre
2016,4103479,Cafezal do Sul,1792,centre
2016,4103503,Califórnia,3355,right
2016,4103602,Cambará,8871,centre
2016,4103800,Cambira,1786,centre
2016,4103701,Cambé,26761,right
2016,4103909,Campina da Lagoa,5461,right
2016,4103958,Campina do Simão,1646,right
2016,4104006,Campina Grande do Sul,16398,centre
2016,4104055,Campo Bonito,1740,right
2016,4104105,Campo do Tenente,2773,centre
2016,4104204,Campo Largo,31460,right
2016,4104253,Campo Magro,5093,centre
2016,4104303,Campo Mourão,20965,far-left
2016,4104428,Candói,5979,right
2016,4104451,Cantagalo,3232,right
2016,4104501,Capanema,6533,left
2016,4104600,Capitão Leônidas Marques,5539,centre
2016,4104659,Carambeí,6330,centre
2016,4104709,Carlópolis,5545,centre
2016,4104808,Cascavel,86099,right
2016,4104907,Castro,18390,centre
2016,4105003,Catanduvas,4386,centre
2016,4105102,Centenário do Sul,4353,right
2016,4105201,Cerro Azul,6727,centre
2016,4105409,Chopinzinho,6802,centre
2016,4105508,Cianorte,19455,centre
2016,4105607,Cidade Gaúcha,5105,right
2016,4105706,Clevelândia,6011,right
2016,4105805,Colombo,46615,centre
2016,4105904,Colorado,5232,far-left
2016,4106001,Congonhinhas,3241,right
2016,4106100,Conselheiro Mairinck,1528,right
2016,4106209,Contenda,5136,centre
2016,4106308,Corbélia,6359,centre
2016,4106407,Cornélio Procópio,14245,centre
2016,4106456,Coronel Domingos Soares,2359,centre
2016,4106506,Coronel Vivida,7194,centre
2016,4106555,Corumbataí do Sul,2024,left
2016,4106803,Cruz Machado,6549,left
2016,4106571,Cruzeiro do Iguaçu,1860,left
2016,4106605,Cruzeiro do Oeste,7823,right
2016,4106704,Cruzeiro do Sul,2092,centre
2016,4106852,Cruzmaltina,1305,centre
2016,4106902,Curitiba,818275,left
2016,4107009,Curiúva,4346,right
2016,4104402,Cândido de Abreu,5369,right
2016,4105300,Céu Azul,3696,right
2016,4107157,Diamante D'Oeste,1687,far-left
2016,4107108,Diamante do Norte,1757,left
2016,4107124,Diamante do Sul,1456,left
2016,4107207,Dois Vizinhos,9958,centre
2016,4107256,Douradina,3174,right
2016,4107306,Doutor Camargo,2250,left
2016,4128633,Doutor Ulysses,2417,right
2016,4107504,Engenheiro Beltrão,4213,centre
2016,4107538,Entre Rios do Oeste,1929,centre
2016,4107405,Enéas Marques,2828,right
2016,4107520,Esperança Nova,921,centre
2016,4107546,Espigão Alto do Iguaçu,2075,right
2016,4107553,Farol,1357,centre
2016,4107603,Faxinal,4834,centre
2016,4107652,Fazenda Rio Grande,21777,centre
2016,4107736,Fernandes Pinheiro,2440,centre
2016,4107751,Figueira,3617,centre
2016,4107850,Flor da Serra do Sul,2417,right
2016,4107801,Floraí,2302,centre
2016,4107900,Floresta,2658,centre
2016,4108007,Florestópolis,3963,centre
2016,4108106,Flórida,1100,left
2016,4108205,Formosa do Oeste,2732,centre
2016,4108304,Foz do Iguaçu,58163,left
2016,4108452,Foz do Jordão,1734,right
2016,4108320,Francisco Alves,3773,centre
2016,4108403,Francisco Beltrão,25585,centre
2016,4107702,Fênix,1780,centre
2016,4108502,General Carneiro,5071,centre
2016,4108551,Godoy Moreira,1451,centre
2016,4108601,Goioerê,11096,far-left
2016,4108650,Goioxim,2408,centre
2016,4108700,Grandes Rios,2328,right
2016,4108908,Guairaçá,2668,far-left
2016,4108957,Guamiranga,2537,centre
2016,4109005,Guapirama,1748,centre
2016,4109104,Guaporema,1107,left
2016,4109203,Guaraci,2000,far-left
2016,4109302,Guaraniaçu,3018,left
2016,4109401,Guarapuava,57969,far-left
2016,4109500,Guaraqueçaba,3280,centre
2016,4109609,Guaratuba,7400,right
2016,4108809,Guaíra,8310,right
2016,4109658,Honório Serpa,1983,centre
2016,4109708,Ibaiti,8595,centre
2016,4109757,Ibema,1977,centre
2016,4109807,Ibiporã,16273,centre
2016,4109906,Icaraíma,3573,left
2016,4110003,Iguaraçu,1672,centre
2016,4110052,Iguatu,979,centre
2016,4110078,Imbaú,3492,centre
2016,4110102,Imbituva,11595,centre
2016,4110300,Inajá,1225,centre
2016,4110409,Indianópolis,1842,centre
2016,4110201,Inácio Martins,4359,centre
2016,4110508,Ipiranga,5152,right
2016,4110607,Iporã,7440,centre
2016,4110656,Iracema do Oeste,1430,centre
2016,4110706,Irati,18065,centre
2016,4110805,Iretama,2632,right
2016,4110904,Itaguajé,2558,right
2016,4110953,Itaipulândia,3976,left
2016,4111001,Itambaracá,2602,left
2016,4111100,Itambé,2560,right
2016,4111209,Itapejara d'Oeste,4102,right
2016,4111258,Itaperuçu,7882,centre
2016,4111308,Itaúna do Sul,1215,centre
2016,4111506,Ivaiporã,11813,centre
2016,4111605,Ivatuba,974,centre
2016,4111555,Ivaté,2821,right
2016,4111407,Ivaí,4202,centre
2016,4111704,Jaboti,1909,centre
2016,4111803,Jacarezinho,11833,right
2016,4111902,Jaguapitã,4478,centre
2016,4112009,Jaguariaíva,11685,centre-right
2016,4112108,Jandaia do Sul,7000,right
2016,4112207,Janiópolis,4034,left
2016,4112306,Japira,2008,right
2016,4112405,Japurá,3385,left
2016,4112504,Jardim Alegre,5303,far-left
2016,4112603,Jardim Olinda,616,right
2016,4112702,Jataizinho,4329,right
2016,4112751,Jesuítas,3302,centre
2016,4112801,Joaquim Távora,5519,centre
2016,4112900,Jundiaí do Sul,1476,right
2016,4112959,Juranda,2728,centre
2016,4113007,Jussara,2664,centre
2016,4113106,Kaloré,1918,right
2016,4113205,Lapa,13372,centre
2016,4113254,Laranjal,2175,right
2016,4113304,Laranjeiras do Sul,10180,right
