Year Election,City Code,City,Num Votes,Position
2016,3300100,Angra dos Reis,75517,centre
2016,3300159,Aperibé,3823,centre
2016,3300209,Araruama,34253,left
2016,3300225,Areal,4963,right
2016,3300233,Armação dos Búzios,6772,centre
2016,3300258,Arraial do Cabo,10677,centre-right
2016,3300308,Barra do Piraí,20856,centre-right
2016,3300407,Barra Mansa,39169,centre
2016,3300456,Belford Roxo,220129,centre
2016,3300506,Bom Jardim,9794,left
2016,3300605,Bom Jesus do Itabapoana,10895,right
2016,3300704,Cabo Frio,44161,centre
2016,3300803,Cachoeiras de Macacu,18574,left
2016,3300902,Cambuci,3653,centre
2016,3301009,Campos dos Goytacazes,151462,far-left
2016,3301108,Cantagalo,8647,centre
2016,3300936,Carapebus,6201,right
2016,3301157,Cardoso Moreira,4749,right
2016,3301207,Carmo,5285,left
2016,3301306,Casimiro de Abreu,11742,left
2016,3300951,Comendador Levy Gasparian,3719,right
2016,3301405,Conceição de Macabu,4637,right
2016,3301504,Cordeiro,5196,far-left
2016,3301603,Duas Barras,4644,right
2016,3301702,Duque de Caxias,367582,centre
2016,3301801,Engenheiro Paulo de Frontin,4874,centre-right
2016,3301850,Guapimirim,11968,left
2016,3301876,Iguaba Grande,7660,right
2016,3301900,Itaboraí,56317,right
2016,3302007,Itaguaí,27913,centre
2016,3302056,Italva,3691,right
2016,3302106,Itaocara,6411,centre
2016,3302205,Itaperuna,37333,right
2016,3302254,Itatiaia,8383,centre
2016,3302270,Japeri,23863,right
2016,3302304,Laje do Muriaé,3091,right
2016,3302403,Macaé,63397,centre
2016,3302452,Macuco,4002,centre-right
2016,3302502,Magé,81601,far-left
2016,3302601,Mangaratiba,10111,far-left
2016,3302700,Maricá,39128,left
2016,3302809,Mendes,4600,right
2016,3302858,Mesquita,46322,centre
2016,3302908,Miguel Pereira,7465,right
2016,3303005,Miracema,7958,right
2016,3303104,Natividade,3517,far-right
2016,3303203,Nilópolis,60595,right
2016,3303302,Niterói,240004,centre
2016,3303401,Nova Friburgo,29046,right
2016,3303500,Nova Iguaçu,396067,right
2016,3303609,Paracambi,12686,right
2016,3303807,Paraty,8403,centre
2016,3303708,Paraíba do Sul,7763,centre
2016,3303856,Paty do Alferes,7737,centre
2016,3303906,Petrópolis,147716,centre
2016,3303955,Pinheiral,6689,centre
2016,3304003,Piraí,9064,left
2016,3304102,Porciúncula,6507,right
2016,3304110,Porto Real,7862,centre
2016,3304128,Quatis,4704,centre
2016,3304144,Queimados,43934,centre
2016,3304151,Quissamã,6679,right
2016,3304201,Resende,25888,centre
2016,3304300,Rio Bonito,14826,right
2016,3304409,Rio Claro,6664,right
2016,3304508,Rio das Flores,4837,far-left
2016,3304524,Rio das Ostras,28046,centre
2016,3304557,Rio de Janeiro,2542231,centre-right
2016,3304607,Santa Maria Madalena,2986,right
2016,3304706,Santo Antônio de Pádua,9367,left
2016,3305406,Sapucaia,6654,centre
2016,3305505,Saquarema,23600,right
2016,3305554,Seropédica,24124,left
2016,3305604,Silva Jardim,7470,centre
2016,3305703,Sumidouro,6870,right
2016,3304805,São Fidélis,10691,right
2016,3304755,São Francisco de Itabapoana,12912,left
2016,3304904,São Gonçalo,304602,far-left
2016,3305133,São José de Ubá,3155,right
2016,3305158,São José do Vale do Rio Preto,4012,centre
2016,3305000,São João da Barra,22032,right
2016,3305109,São João de Meriti,115403,right
2016,3305208,São Pedro da Aldeia,20478,centre
2016,3305307,São Sebastião do Alto,4170,right
2016,3305752,Tanguá,11230,right
2016,3305802,Teresópolis,35100,right
2016,3305901,Trajano de Moraes,3298,right
2016,3306008,Três Rios,22947,left
2016,3306107,Valença,20252,right
2016,3306156,Varre-Sai,3511,centre
2016,3306206,Vassouras,7108,far-left
2016,3306305,Volta Redonda,128602,centre
