Year Election,City Code,City,Num Votes,Position
2016,2400109,Acari,4123,centre
2016,2400307,Afonso Bezerra,4291,centre
2016,2400505,Alexandria,4610,centre
2016,2400604,Almino Afonso,2826,centre
2016,2400703,Alto do Rodrigues,5209,right
2016,2400802,Angicos,3770,centre
2016,2400901,Antônio Martins,2729,centre
2016,2401008,Apodi,12623,centre
2016,2401107,Areia Branca,8388,centre
2016,2401206,Arês,4988,centre
2016,2400208,Açu,18217,right
2016,2401453,Baraúna,6403,right
2016,2401503,Barcelona,2069,far-left
2016,2401404,Baía Formosa,3291,centre
2016,2401602,Bento Fernandes,2502,centre
2016,2405306,Januário Cicco,3086,right
2016,2401651,Bodó,1544,centre
2016,2401701,Bom Jesus,3587,right
2016,2401800,Brejinho,4807,centre
2016,2402006,Caicó,12687,right
2016,2401859,Caiçara do Norte,2698,centre
2016,2401909,Caiçara do Rio do Vento,1964,centre
2016,2401305,Augusto Severo,3459,right
2016,2402105,Campo Redondo,4091,centre
2016,2402204,Canguaretama,9817,centre
2016,2402303,Caraúbas,8053,centre
2016,2402501,Carnaubais,3173,centre
2016,2402402,Carnaúba dos Dantas,3182,centre
2016,2402600,Ceará-Mirim,22860,centre
2016,2402709,Cerro Corá,3448,centre
2016,2402808,Coronel Ezequiel,2308,centre
2016,2402907,Coronel João Pessoa,2123,left
2016,2403004,Cruzeta,3284,centre
2016,2403103,Currais Novos,10497,left
2016,2403202,Doutor Severiano,2536,centre
2016,2403301,Encanto,2253,right
2016,2403400,Equador,2056,right
2016,2403509,Espírito Santo,3241,centre
2016,2403608,Extremoz,8998,right
2016,2403707,Felipe Guerra,3466,left
2016,2403756,Fernando Pedroza,1620,centre
2016,2403806,Florânia,4170,right
2016,2403905,Francisco Dantas,1560,centre
2016,2404002,Frutuoso Gomes,2374,centre
2016,2404101,Galinhos,1263,right
2016,2404200,Goianinha,8540,centre
2016,2404309,Governador Dix-Sept Rosado,5030,centre-right
2016,2404408,Grossos,2774,centre
2016,2404507,Guamaré,6249,centre
2016,2404606,Ielmo Marinho,5711,centre
2016,2404705,Ipanguaçu,5735,centre
2016,2404804,Ipueira,736,centre
2016,2404853,Itajá,3124,right
2016,2404903,Itaú,2488,right
2016,2405108,Jandaíra,3234,centre
2016,2405207,Janduís,2181,far-left
2016,2405405,Japi,2552,centre
2016,2405504,Jardim de Angicos,1715,centre
2016,2405603,Jardim de Piranhas,5306,centre
2016,2405702,Jardim do Seridó,4600,centre
2016,2405009,Jaçanã,2494,far-left
2016,2406007,José da Penha,2459,left
2016,2405801,João Câmara,10593,right
2016,2405900,João Dias,1281,centre
2016,2406106,Jucurutu,6409,centre
2016,2406155,Jundiá,1743,centre
2016,2406205,Lagoa d'Anta,3162,right
2016,2406304,Lagoa de Pedras,4231,centre
2016,2406403,Lagoa de Velhos,1443,centre
2016,2406502,Lagoa Nova,5337,centre
2016,2406601,Lagoa Salgada,3619,centre
2016,2406700,Lajes,3938,centre
2016,2406809,Lajes Pintadas,2150,centre
2016,2406908,Lucrécia,2316,right
2016,2407005,Luís Gomes,3952,centre
2016,2407203,Macau,9115,centre
2016,2407104,Macaíba,18873,centre
2016,2407252,Major Sales,1422,centre
2016,2407302,Marcelino Vieira,3337,centre
2016,2407401,Martins,3184,right
2016,2407500,Maxaranguape,5375,centre
2016,2407609,Messias Targino,2170,right
2016,2407708,Montanhas,4023,right
2016,2407807,Monte Alegre,9444,centre
2016,2407906,Monte das Gameleiras,1573,centre
2016,2408003,Mossoró,67476,right
2016,2408102,Natal,225741,left
2016,2408300,Nova Cruz,10995,centre
2016,2408201,Nísia Floresta,6591,centre
2016,2408409,Olho-d'Água do Borges,1943,centre
2016,2408508,Ouro Branco,2312,left
2016,2408607,Paraná,1596,centre
2016,2408805,Parazinho,1733,right
2016,2408706,Paraú,2023,centre
2016,2408904,Parelhas,7204,centre
2016,2403251,Parnamirim,34363,centre-right
2016,2409100,Passa e Fica,3856,centre
2016,2409209,Passagem,2109,centre
2016,2409308,Patu,4165,centre
2016,2409407,Pau dos Ferros,8589,right
2016,2409506,Pedra Grande,1986,centre
2016,2409605,Pedra Preta,1670,centre
2016,2409704,Pedro Avelino,3057,right
2016,2409803,Pedro Velho,5531,centre
2016,2409902,Pendências,4543,centre
2016,2410009,Pilões,1648,centre
2016,2410207,Portalegre,2971,right
2016,2410256,Porto do Mangue,2192,centre-right
