Year Election,City Code,City,Num Votes,Position
2016,4300034,Aceguá,1594,centre
2016,4300109,Agudo,6241,centre
2016,4300208,Ajuricaba,2177,centre
2016,4300307,Alecrim,3462,centre
2016,4300406,Alegrete,22073,right
2016,4300455,Alegria,1509,right
2016,4300471,Almirante Tamandaré do Sul,1297,left
2016,4300505,Alpestre,2579,centre
2016,4300554,Alto Alegre,848,left
2016,4300570,Alto Feliz,1350,right
2016,4300604,Alvorada,31414,centre
2016,4300638,Amaral Ferrador,2418,left
2016,4300646,Ametista do Sul,2667,left
2016,4300661,André da Rocha,612,right
2016,4300703,Anta Gorda,3330,left
2016,4300802,Antônio Prado,4624,centre
2016,4300851,Arambaré,1587,centre
2016,4300877,Araricá,2426,right
2016,4300901,Aratiba,2800,left
2016,4301008,Arroio do Meio,7247,centre
2016,4301073,Arroio do Padre,1267,right
2016,4301057,Arroio do Sal,3126,centre
2016,4301206,Arroio do Tigre,5730,right
2016,4301107,Arroio dos Ratos,3591,left
2016,4301305,Arroio Grande,5919,right
2016,4301404,Arvorezinha,4045,left
2016,4301503,Augusto Pestana,3063,right
2016,4301602,Bagé,45948,right
2016,4301636,Balneário Pinhal,3999,right
2016,4301859,Barra do Guarita,1419,left
2016,4301875,Barra do Quaraí,1319,left
2016,4301909,Barra do Ribeiro,3752,centre
2016,4301925,Barra do Rio Azul,1277,right
2016,4301958,Barra Funda,2002,right
2016,4301800,Barracão,2093,centre
2016,4302006,Barros Cassal,3827,centre
2016,4301651,Barão,2209,left
2016,4301701,Barão de Cotegipe,2845,right
2016,4301750,Barão do Triunfo,2650,centre
2016,4302055,Benjamin Constant do Sul,1255,left
2016,4302105,Bento Gonçalves,44129,right
2016,4302154,Boa Vista das Missões,1059,left
2016,4302204,Boa Vista do Buricá,2527,far-left
2016,4302220,Boa Vista do Cadeado,1010,left
2016,4302238,Boa Vista do Incra,1028,right
2016,4302253,Boa Vista do Sul,1180,centre
2016,4302303,Bom Jesus,3959,right
2016,4302352,Bom Princípio,4370,centre
2016,4302378,Bom Progresso,986,right
2016,4302402,Bom Retiro do Sul,4786,far-left
2016,4302451,Boqueirão do Leão,2607,centre
2016,4302501,Bossoroca,1987,right
2016,4302584,Bozano,1115,right
2016,4302600,Braga,1509,left
2016,4302659,Brochier,2136,right
2016,4302709,Butiá,4893,left
2016,4302907,Cacequi,4556,right
2016,4303004,Cachoeira do Sul,17728,left
2016,4303103,Cachoeirinha,34369,left
2016,4303202,Cacique Doble,1774,right
2016,4303301,Caibaté,1461,right
2016,4303400,Caiçara,1624,left
2016,4303509,Camaquã,13274,centre
2016,4303558,Camargo,1097,right
2016,4303608,Cambará do Sul,2088,right
2016,4303673,Campestre da Serra,1328,right
2016,4303707,Campina das Missões,2234,centre
2016,4303806,Campinas do Sul,2278,right
2016,4303905,Campo Bom,15793,left
2016,4304002,Campo Novo,1539,left
2016,4304101,Campos Borges,1484,left
2016,4304200,Candelária,10806,left
2016,4304358,Candiota,2974,left
2016,4304408,Canela,10912,centre
2016,4304507,Canguçu,14977,centre
2016,4304606,Canoas,152215,centre-right
2016,4304614,Canudos do Vale,1085,centre
2016,4304689,Capela de Santana,4586,right
2016,4304697,Capitão,1329,centre
2016,4304671,Capivari do Sul,1789,left
2016,4304622,Capão Bonito do Sul,944,left
2016,4304630,Capão da Canoa,12999,right
2016,4304655,Capão do Cipó,1227,right
2016,4304663,Capão do Leão,6265,left
2016,4304705,Carazinho,25157,right
2016,4304713,Caraá,2771,centre
2016,4304804,Carlos Barbosa,9528,centre
2016,4304853,Carlos Gomes,791,centre-right
2016,4304903,Casca,3291,left
2016,4304952,Caseiros,1246,centre
2016,4305009,Catuípe,3506,left
2016,4305108,Caxias do Sul,216715,centre-right
2016,4302808,Caçapava do Sul,7793,left
2016,4305116,Centenário,1228,left
2016,4305124,Cerrito,2649,right
2016,4305132,Cerro Branco,1822,left
2016,4305157,Cerro Grande,1047,left
2016,4305173,Cerro Grande do Sul,2591,centre
2016,4305207,Cerro Largo,3464,right
2016,4305306,Chapada,3461,left
2016,4305355,Charqueadas,8494,left
