Year Election,City Code,City,Num Votes,Position
2016,4200051,Abdon Batista,1169,centre
2016,4200101,Abelardo Luz,6617,centre
2016,4200200,Agrolândia,4676,centre
2016,4200309,Agronômica,1965,centre
2016,4200705,Alfredo Wagner,3983,centre
2016,4200754,Alto Bela Vista,936,centre
2016,4200804,Anchieta,2493,left
2016,4200903,Angelina,2300,centre
2016,4201000,Anita Garibaldi,4021,right
2016,4201109,Anitápolis,1568,centre
2016,4201208,Antônio Carlos,4100,centre
2016,4201257,Apiúna,3684,right
2016,4201273,Arabutã,1973,right
2016,4201307,Araquari,8600,centre
2016,4201406,Araranguá,20719,right
2016,4201505,Armazém,3150,right
2016,4201604,Arroio Trinta,1459,right
2016,4201653,Arvoredo,1156,centre
2016,4201703,Ascurra,2143,centre
2016,4201802,Atalanta,1368,centre
2016,4201901,Aurora,2350,centre
2016,4201950,Balneário Arroio do Silva,4615,centre
2016,4202057,Balneário Barra do Sul,3752,centre
2016,4202008,Balneário Camboriú,32552,left
2016,4202073,Balneário Gaivota,3497,right
2016,4212809,Balneário Piçarras,6363,centre
2016,4220000,Balneário Rincão,5271,centre
2016,4202081,Bandeirante,1367,left
2016,4202099,Barra Bonita,981,centre
2016,4202107,Barra Velha,6351,right
2016,4202131,Bela Vista do Toldo,2422,centre
2016,4202156,Belmonte,1199,centre
2016,4202206,Benedito Novo,3707,right
2016,4202305,Biguaçu,17618,right
2016,4202404,Blumenau,185585,centre
2016,4202438,Bocaina do Sul,1510,centre
2016,4202503,Bom Jardim da Serra,1627,right
2016,4202537,Bom Jesus,1189,right
2016,4202578,Bom Jesus do Oeste,944,centre
2016,4202602,Bom Retiro,3060,right
2016,4202453,Bombinhas,7802,left
2016,4202701,Botuverá,2175,centre
2016,4202800,Braço do Norte,12687,centre
2016,4202859,Braço do Trombudo,1926,centre
2016,4202875,Brunópolis,1440,centre
2016,4202909,Brusque,25171,left
2016,4203105,Caibi,2744,centre
2016,4203154,Calmon,1679,right
2016,4203204,Camboriú,16107,centre
2016,4203303,Campo Alegre,4366,right
2016,4203402,Campo Belo do Sul,2698,centre
2016,4203501,Campo Erê,2973,centre
2016,4203600,Campos Novos,11826,centre
2016,4203709,Canelinha,4040,centre
2016,4203808,Canoinhas,16384,centre
2016,4203907,Capinzal,7640,centre
2016,4203956,Capivari de Baixo,7143,left
2016,4203253,Capão Alto,1517,right
2016,4204004,Catanduvas,3464,centre
2016,4204103,Caxambu do Sul,2255,left
2016,4203006,Caçador,24504,centre
2016,4204152,Celso Ramos,1180,centre
2016,4204178,Cerro Negro,1596,right
2016,4204194,Chapadão do Lageado,1160,centre
2016,4204202,Chapecó,66107,left
2016,4204251,Cocal do Sul,7038,left
2016,4204301,Concórdia,20363,right
2016,4204350,Cordilheira Alta,2253,centre
2016,4204400,Coronel Freitas,3750,centre
2016,4204459,Coronel Martins,980,left
2016,4204558,Correia Pinto,5644,right
2016,4204509,Corupá,4904,right
2016,4204608,Criciúma,82959,centre
2016,4204707,Cunha Porã,3752,centre
2016,4204756,Cunhataí,915,centre
2016,4204806,Curitibanos,14904,centre
2016,4204905,Descanso,3069,left
2016,4205001,Dionísio Cerqueira,5305,centre
2016,4205100,Dona Emma,1419,centre
2016,4205159,Doutor Pedrinho,1376,centre
2016,4205175,Entre Rios,1465,right
2016,4205191,Ermo,1262,centre
2016,4205209,Erval Velho,1735,centre
