Year Election,City Code,City,Num Votes,Position
2016,2800100,Amparo de São Francisco,1497,right
2016,2800209,Aquidabã,8853,centre-right
2016,2800308,Aracaju,246086,far-left
2016,2800407,Arauá,4116,left
2016,2800506,Areia Branca,4473,right
2016,2800605,Barra dos Coqueiros,10293,centre
2016,2800670,Boquim,9612,centre
2016,2800704,Brejo Grande,2281,left
2016,2801009,Campo do Brito,6407,centre
2016,2801108,Canhoba,1797,centre
2016,2801207,Canindé de São Francisco,12796,centre
2016,2801306,Capela,9929,right
2016,2801405,Carira,6509,right
2016,2801504,Carmópolis,6088,right
2016,2801603,Cedro de São João,2629,right
2016,2801702,Cristinápolis,5958,left
2016,2801900,Cumbe,1778,centre
2016,2802007,Divina Pastora,1430,centre
2016,2802106,Estância,14405,right
2016,2802205,Feira Nova,2612,centre
2016,2802304,Frei Paulo,5083,centre
2016,2802403,Gararu,3495,right
2016,2802502,General Maynard,832,centre
2016,2802601,Graccho Cardoso,2384,left
2016,2802700,Ilha das Flores,3253,right
2016,2802809,Indiaroba,5959,centre
2016,2802908,Itabaiana,35559,right
2016,2803005,Itabaianinha,8465,centre
2016,2803104,Itabi,1852,centre
2016,2803203,Itaporanga d'Ajuda,10800,centre
2016,2803302,Japaratuba,5048,right
2016,2803401,Japoatã,3895,right
2016,2803500,Lagarto,32966,right
2016,2803609,Laranjeiras,8396,right
2016,2803708,Macambira,2743,left
2016,2803807,Malhada dos Bois,1858,right
2016,2803906,Malhador,3805,left
2016,2804003,Maruim,4945,centre
2016,2804102,Moita Bonita,3823,centre
2016,2804201,Monte Alegre de Sergipe,4504,left
2016,2804300,Muribeca,3112,centre
2016,2804409,Neópolis,5907,right
2016,2804458,Nossa Senhora Aparecida,2991,centre
2016,2804508,Nossa Senhora da Glória,13002,left
2016,2804607,Nossa Senhora das Dores,8808,centre
2016,2804706,Nossa Senhora de Lourdes,2479,right
2016,2804805,Nossa Senhora do Socorro,35190,far-left
2016,2804904,Pacatuba,5380,right
2016,2805000,Pedra Mole,1346,right
2016,2805109,Pedrinhas,2978,left
2016,2805208,Pinhão,2409,centre
2016,2805307,Pirambu,3217,right
2016,2805604,Porto da Folha,7522,right
2016,2805406,Poço Redondo,6640,centre-right
2016,2805505,Poço Verde,8206,right
2016,2805703,Propriá,7878,left
2016,2805901,Riachuelo,3599,centre
2016,2805802,Riachão do Dantas,6755,centre
2016,2806008,Ribeirópolis,5661,right
2016,2806107,Rosário do Catete,3652,right
2016,2806206,Salgado,6017,left
2016,2806305,Santa Luzia do Itanhy,4373,centre
2016,2806503,Santa Rosa de Lima,2087,centre
2016,2806404,Santana do São Francisco,2145,right
2016,2806602,Santo Amaro das Brotas,3133,left
2016,2807105,Simão Dias,16993,right
2016,2807204,Siriri,3335,left
2016,2806701,São Cristóvão,11968,centre
2016,2806800,São Domingos,3073,left
2016,2806909,São Francisco,1599,left
2016,2807006,São Miguel do Aleixo,2022,centre
2016,2807303,Telha,1445,centre
2016,2807402,Tobias Barreto,14872,centre
2016,2807501,Tomar do Geru,4056,centre
2016,2807600,Umbaúba,8044,centre
