Year Election,City Code,City,Num Votes,Position
2016,3500105,Adamantina,15231,right
2016,3500204,Adolfo,2171,centre
2016,3500303,Aguaí,13343,centre
2016,3500709,Agudos,15380,centre-right
2016,3500758,Alambari,1959,centre
2016,3500808,Alfredo Marcondes,1664,centre
2016,3500907,Altair,1561,right
2016,3501004,Altinópolis,6324,centre
2016,3501103,Alto Alegre,2010,centre
2016,3501152,Alumínio,5662,far-left
2016,3501509,Alvinlândia,1305,centre
2016,3501608,Americana,84879,centre
2016,3501905,Amparo,11549,centre
2016,3501707,Américo Brasiliense,13638,centre
2016,3501806,Américo de Campos,2596,far-left
2016,3502002,Analândia,1968,centre
2016,3502101,Andradina,14148,unknown
2016,3502200,Angatuba,9731,centre
2016,3502309,Anhembi,2785,centre
2016,3502408,Anhumas,1265,centre
2016,3502507,Aparecida,7388,centre
2016,3502606,Aparecida d'Oeste,1757,centre
2016,3502705,Apiaí,8092,centre
2016,3503000,Aramina,2050,centre
2016,3503109,Arandu,2273,right
2016,3503158,Arapeí,726,centre
2016,3503208,Araraquara,41220,left
2016,3503307,Araras,28788,centre
2016,3502754,Araçariguama,6080,centre
2016,3502804,Araçatuba,58190,centre
2016,3502903,Araçoiaba da Serra,4468,centre
2016,3503356,Arco-Íris,1018,right
2016,3503406,Arealva,2874,centre
2016,3503505,Areias,2061,right
2016,3503604,Areiópolis,3655,right
2016,3503703,Ariranha,4591,right
2016,3503802,Artur Nogueira,15872,centre
2016,3503901,Arujá,16290,centre
2016,3503950,Aspásia,857,right
2016,3504008,Assis,18817,left
2016,3504107,Atibaia,37300,left
2016,3504206,Auriflama,5162,centre
2016,3504404,Avanhandava,3367,centre
2016,3504503,Avaré,19542,right
2016,3504305,Avaí,1253,centre
2016,3504602,Bady Bassitt,4979,far-left
2016,3504701,Balbinos,991,centre
2016,3504909,Bananal,3205,centre
2016,3505104,Barbosa,1810,right
2016,3505203,Bariri,6891,centre
2016,3505302,Barra Bonita,12001,centre
2016,3505351,Barra do Chapéu,1444,left
2016,3505401,Barra do Turvo,2385,centre
2016,3505500,Barretos,26681,centre
2016,3505609,Barrinha,13056,far-left
2016,3505708,Barueri,143250,centre
2016,3505005,Barão de Antonina,1165,centre
2016,3505807,Bastos,4461,centre
2016,3505906,Batatais,14298,centre
2016,3506003,Bauru,184100,centre
2016,3506102,Bebedouro,24667,right
2016,3506201,Bento de Abreu,1095,centre
2016,3506300,Bernardino de Campos,3412,far-left
2016,3506359,Bertioga,18584,centre
2016,3506409,Bilac,3029,centre
2016,3506508,Birigui,28507,right
2016,3506607,Biritiba-Mirim,9821,right
2016,3506706,Boa Esperança do Sul,3925,centre
2016,3506805,Bocaina,5465,far-left
2016,3506904,Bofete,3297,right
2016,3507001,Boituva,12684,centre
2016,3507100,Bom Jesus dos Perdões,4161,centre
2016,3507159,Bom Sucesso de Itararé,1231,centre
2016,3507308,Boracéia,2044,centre
2016,3507407,Borborema,3833,right
2016,3507456,Borebi,1187,centre
2016,3507209,Borá,572,centre-right
2016,3507506,Botucatu,39045,centre
2016,3507605,Bragança Paulista,60822,right
2016,3507704,Braúna,2077,right
2016,3507753,Brejo Alegre,1643,centre
2016,3507803,Brodowski,6738,centre
2016,3507902,Brotas,5979,right
2016,3508009,Buri,5949,right
2016,3508108,Buritama,5796,right
2016,3508207,Buritizal,1752,centre
2016,3504800,Bálsamo,3255,centre
2016,3508405,Cabreúva,20908,left
2016,3508306,Cabrália Paulista,1325,right
2016,3508603,Cachoeira Paulista,7670,right
2016,3508702,Caconde,5229,right
2016,3508801,Cafelândia,5222,centre
