Year Election,City Code,City,Num Votes,Position
2016,1700251,Abreulândia,857,centre
2016,1700301,Aguiarnópolis,1948,centre-right
2016,1700350,Aliança do Tocantins,1981,right
2016,1700400,Almas,2781,centre
2016,1700707,Alvorada,2849,centre
2016,1701002,Ananás,3200,right
2016,1701051,Angico,1255,right
2016,1701101,Aparecida do Rio Negro,2062,centre
2016,1701309,Aragominas,2141,right
2016,1701903,Araguacema,2158,centre
2016,1702158,Araguanã,2089,centre
2016,1702208,Araguatins,5881,centre
2016,1702000,Araguaçu,3085,centre-right
2016,1702109,Araguaína,32522,right
2016,1702307,Arapoema,1304,centre
2016,1702406,Arraias,2969,centre
2016,1702554,Augustinópolis,4913,centre-right
2016,1702703,Aurora do Tocantins,1305,right
2016,1702901,Axixá do Tocantins,3554,centre
2016,1703008,Babaçulândia,2565,centre
2016,1703057,Bandeirantes do Tocantins,830,right
2016,1703073,Barra do Ouro,1071,centre
2016,1703107,Barrolândia,2679,centre
2016,1703206,Bernardo Sayão,1709,centre
2016,1703305,Bom Jesus do Tocantins,1435,centre
2016,1703602,Brasilândia do Tocantins,843,right
2016,1703701,Brejinho de Nazaré,1834,left
2016,1703800,Buriti do Tocantins,2945,centre
2016,1703826,Cachoeirinha,994,centre
2016,1703842,Campos Lindos,2805,right
2016,1703867,Cariri do Tocantins,1486,centre
2016,1703883,Carmolândia,1014,left
2016,1703891,Carrasco Bonito,1454,right
2016,1703909,Caseara,1654,right
2016,1704105,Centenário,986,right
2016,1705102,Chapada da Natividade,1179,right
2016,1704600,Chapada de Areia,973,far-left
2016,1705508,Colinas do Tocantins,11407,centre-right
2016,1716703,Colméia,2601,centre
2016,1705557,Combinado,1638,centre
2016,1705607,Conceição do Tocantins,1745,centre
2016,1706001,Couto Magalhães,1811,left
2016,1706100,Cristalândia,2431,left
2016,1706258,Crixás do Tocantins,830,far-left
2016,1706506,Darcinópolis,2324,right
2016,1707009,Dianópolis,6583,left
2016,1707108,Divinópolis do Tocantins,2563,centre
2016,1707207,Dois Irmãos do Tocantins,2180,centre
2016,1707306,Dueré,1518,centre
2016,1707405,Esperantina,1744,right
2016,1707652,Figueirópolis,2552,centre
2016,1707702,Filadélfia,2600,centre
2016,1708205,Formoso do Araguaia,3232,far-right
2016,1708254,Fortaleza do Tabocão,1440,centre
2016,1707553,Fátima,1028,right
2016,1708304,Goianorte,2500,centre
2016,1709005,Goiatins,3126,right
2016,1709302,Guaraí,5878,centre
2016,1709500,Gurupi,20640,left
2016,1709807,Ipueiras,751,centre
2016,1710508,Itacajá,2403,centre
2016,1710706,Itaguatins,1815,right
2016,1710904,Itapiratins,2372,centre
2016,1711100,Itaporã do Tocantins,1245,centre
2016,1711506,Jaú do Tocantins,1574,centre
2016,1711803,Juarina,1015,right
2016,1711902,Lagoa da Confusão,4326,centre-right
2016,1711951,Lagoa do Tocantins,1095,left
2016,1712009,Lajeado,1382,centre
2016,1712157,Lavandeira,860,centre
2016,1712405,Lizarda,1418,centre
2016,1712454,Luzinópolis,1292,right
2016,1712504,Marianópolis do Tocantins,1369,right
2016,1712702,Mateiros,650,right
2016,1712801,Maurilândia do Tocantins,1305,right
2016,1713205,Miracema do Tocantins,9918,centre
2016,1713304,Miranorte,4270,centre
2016,1713601,Monte do Carmo,1955,centre
2016,1713700,Monte Santo do Tocantins,1308,centre-right
2016,1713957,Muricilândia,809,right
2016,1714203,Natividade,2165,right
2016,1714302,Nazaré,1787,centre
2016,1714880,Nova Olinda,3331,right
2016,1715002,Nova Rosalândia,1412,left
2016,1715101,Novo Acordo,1468,centre
2016,1715150,Novo Alegre,963,centre
2016,1715259,Novo Jardim,903,centre
2016,1715507,Oliveira de Fátima,942,right
2016,1721000,Palmas,68634,left
2016,1715705,Palmeirante,1795,centre
2016,1713809,Palmeiras do Tocantins,1873,right
2016,1715754,Palmeirópolis,2697,centre
2016,1716208,Paranã,3050,centre
2016,1716109,Paraíso do Tocantins,11937,centre
2016,1716307,Pau D'Arco,1359,right
2016,1716505,Pedro Afonso,3105,left
2016,1716604,Peixe,1714,right
2016,1716653,Pequizeiro,1925,centre
2016,1717008,Pindorama do Tocantins,1538,centre
2016,1717206,Piraquê,956,centre
2016,1717503,Pium,1842,centre
2016,1717800,Ponte Alta do Bom Jesus,1442,centre
2016,1717909,Ponte Alta do Tocantins,1209,right
2016,1718006,Porto Alegre do Tocantins,946,right
2016,1718204,Porto Nacional,16988,centre
2016,1718303,Praia Norte,3126,centre
2016,1718402,Presidente Kennedy,945,centre
2016,1718451,Pugmil,929,far-left
2016,1718501,Recursolândia,1480,centre
2016,1718550,Riachinho,1587,right
2016,1718659,Rio da Conceição,873,centre
2016,1718709,Rio dos Bois,972,right
2016,1718758,Rio Sono,1711,right
2016,1718808,Sampaio,1309,right
2016,1718840,Sandolândia,1513,right
2016,1718865,Santa Fé do Araguaia,2977,right
2016,1718881,Santa Maria do Tocantins,1312,centre
2016,1718899,Santa Rita do Tocantins,885,centre
2016,1718907,Santa Rosa do Tocantins,1609,right
2016,1719004,Santa Tereza do Tocantins,1091,centre
2016,1720002,Santa Terezinha do Tocantins,1045,centre
2016,1720655,Silvanópolis,1952,centre
2016,1720853,Sucupira,816,right
2016,1720101,São Bento do Tocantins,1953,left
2016,1720150,São Félix do Tocantins,1003,centre
2016,1720200,São Miguel do Tocantins,2758,right
2016,1720259,São Salvador do Tocantins,1074,centre
2016,1720309,São Sebastião do Tocantins,1374,left
2016,1720499,São Valério,1164,centre
2016,1720804,Sítio Novo do Tocantins,3425,centre
2016,1720903,Taguatinga,3001,centre
2016,1720937,Taipas do Tocantins,901,right
2016,1720978,Talismã,1118,left
2016,1721208,Tocantinópolis,5107,centre
2016,1721109,Tocantínia,2937,centre
2016,1721257,Tupirama,670,right
2016,1721307,Tupiratins,1043,centre
2016,1722081,Wanderlândia,4241,centre
2016,1722107,Xambioá,3084,centre
