,State,Position,Count
0,AC,centre-right,167603
1,AL,centre,707361
2,AP,centre,200270
3,AM,centre,919694
4,BA,centre,4308572
5,CE,centre,3101752
6,DF,right,581842
7,ES,right,711356
8,GO,right,1362273
9,MA,centre,2194829
10,MT,right,703354
11,MS,right,566281
12,MG,centre,4885350
13,PA,centre,2053241
14,PB,centre,1174651
15,PR,right,3067472
16,PE,centre-right,2311491
17,PI,centre,1239722
18,RJ,centre,3039768
19,RN,centre,1004971
20,RS,centre,2795778
21,RO,right,385083
22,RR,right,114779
23,SC,right,1989438
24,SP,right,10322273
25,SE,centre,605473
26,TO,centre,369861
